geneName,spidroinName,gene_id,lascID
MaSp1a,MaSp1a,evm-000033F-processed-gene-27.15-GeneA,LASC004271
MaSp1c,MaSp1c,evm-000033F-processed-gene-27.15-GeneC,LASC004274
MaSp1b,MaSp1b,evm-000033F-processed-gene-27.15-GeneB,LASC004273
MaSp2b,MaSp2b,evm-000033F-processed-gene-24.21-GeneB,LASC004267
MaSp2c,MaSp2c,evm-000033F-processed-gene-24.21-GeneA,LASC004269
MaSp2e,MaSp2e,maker-000175F-exonerate_protein2genome-gene-8.3-GeneA,LASC012920
MaSp2f,MaSp2f,maker-000175F-exonerate_protein2genome-gene-8.3-GeneB,LASC012922
MaSp3a,MaSp3a,evm-000033F-processed-gene-27.15-GeneD,LASC004275
MaSp3b,MaSp3b,evm-000033F-processed-gene-27.15-GeneE,LASC004276
MaSp2a,MaSp2a,maker-000033F-exonerate_protein2genome-gene-24.4,LASC004265
MaSp4,MaSp4,evm-000033F-processed-gene-22.11,LASC004263
MaSp2d,MaSp2d,augustus_masked-000159F-processed-gene-9.3,LASC012177
Spidroin1,AmSp-like1,maker-000003F-est_gff_StringTie-gene-29.1,LASC000723
Spidroin3,AmSp-like2,maker-000428F-est_gff_StringTie-gene-4.8,LASC020272
MiSpa,MiSpa,evm-000071F-processed-gene-30.32-GeneA,LASC007254
MiSpb,MiSpb,evm-000071F-processed-gene-30.32-GeneB,LASC007257
MiSpc,MiSpc,maker-000071F-augustus-gene-30.4,LASC007258
MiSpd,MiSpd,maker-000737F-exonerate_protein2genome-gene-0.0,LASC022495
AgSp1,AgSp1,maker-000209F-augustus-gene-8.0,LASC014453
AgSp2b,AgSp2b,evm-000032F-processed-gene-42.13,LASC004211
AgSp2a,AgSp2a,maker-000032F-augustus-gene-42.14,LASC004210
Spidroin2,AgSp-like,maker-000032F-exonerate_protein2genome-gene-42.7,LASC004216
FlSp-like,FlSp-like,evm-000002F-processed-gene-17.3,LASC000543
FlSpa,FlSpa,maker-000081F-augustus-gene-24.2,LASC007997
FlSpb,FlSpb,evm-000196F-processed-gene-10.4,LASC013942
FlSpc,FlSpc,maker-000196F-augustus-gene-10.3,LASC013944
TuSp-like,TuSpa,maker-000010F-est_gff_StringTie-gene-15.7,LASC001804
TuSpa,TuSpb,maker-000014F-augustus-gene-20.0,LASC002331
TuSpb,TuSpc,augustus_masked-000089F-processed-gene-1.1,LASC008470
TuSpc,TuSpd,augustus_masked-000588F-processed-gene-0.19,LASC022086
PySpa,PySpa,evm-000148F-processed-gene-19.16-GeneB,LASC011790
PySpb,PySpb,evm-000148F-processed-gene-19.16-GeneA,LASC011791
AcSpa,AcSpa,maker-000034F-exonerate_protein2genome-gene-41.0,LASC004415
AcSp1b,AcSp1b,maker-000162F-augustus-gene-12.16,LASC012314
AcSp1c,AcSp1c,augustus_masked-000162F-processed-gene-12.12,LASC012315
