geneName,max_tpm,Body_vs_Head_PC1,Body_vs_Head_FC,Major_vs_Body_PC1,Major_vs_Body_FC,Major_part_PCA_PC1,Major_part_PCA_PC2,Major_part_PCA_dist,Major_part_PCA_class,Major_part_PLS_PC1,Major_part_PLS_PC2,Major_part_PLS_dist,Major_part_PLS_class,Tail_vs_Rest_FC,Sac_vs_Rest_FC,Duct_vs_Rest_FC,duct_1,duct_2,duct_3,duct_4,duct_5,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,tail_1,tail_2,tail_3,tail_4,tail_5,tail_6
LASC002912,90.69902375230112,1.905109639603682e-4,-0.08654989891197558,2.4128222201150269e-4,0.33040840370397206,0.013470310936904126,-0.03069551827924844,0.03352109961156635,Duct,0.021805501490789702,0.02458009449033295,0.032858194418113246,Duct,-4.859419236108733,-0.9410579257811114,2.930992237791178,6.290545361445211,6.777219416411918,6.4387512639706115,5.843369132611107,5.215510538234218,5.421891580139069,4.379513550999077,4.619400108677639,4.700945973477351,2.852483731948055,5.1771196933653965,2.852483731948055,3.7782304956364916,2.852483731948055,2.852483731948055,2.852483731948055,3.8072750901150583
LASC004995,4417.513250646678,0.017082467723453582,6.199420673788408,0.011922755615481785,2.599175439672177,0.03849500806057976,-0.0785416750845291,0.08746805342905396,Duct,0.02454836788162623,0.02478114743599772,0.034881623154553953,Duct,-7.310612884573477,-2.540048538286443,4.615821717134709,12.9694137068431,12.89388122225592,13.607832351963102,11.435691041205907,10.599794366225161,9.55526739232958,8.46223036176781,8.468537831015762,9.53296745460822,6.5040793911313814,9.71660834714048,3.9899293649679026,4.141008282201213,6.402044349301726,3.4971405971806977,4.354643391824584,5.394849602854902
inhba,371.2810574877746,0.006466139979324938,3.240292757301761,0.012750817227902052,3.2253368580467967,0.0072483984854634165,-0.019671069821077095,0.020964023194743855,Duct,0.01700610995429305,0.015006183076211717,0.022680240437312125,Duct,-1.593468101710922,-0.22228123283319137,1.4249317719034957,9.341576181258315,8.992968415738812,9.750903758717493,6.521751462261379,6.674670781361184,8.929507893849717,7.820956426071004,7.49213375230268,7.4967572438873455,6.233973677763664,7.833369196414243,6.4836930747876345,7.550909164738057,6.2094559948961345,6.562797441797161,7.155143552657884,6.870462682466513
cul1_2,338.8071287269632,0.002323064830845098,0.5301556796765365,0.0014641073531120035,0.3772487254921855,-0.001253599416418338,-0.013990518883239598,0.014046570048204941,Duct,0.0038265941160893716,0.03714957369580369,0.03734613297664484,Duct,-0.4314070790195946,-0.6985157639630422,1.0340439311764764,11.80932222345564,11.839353957201878,11.37058229855915,11.544716764289005,10.856119119912043,10.528530630561697,9.719650164641411,10.855000758037662,10.315818688602274,10.01092660268151,10.664536557656287,10.494970082546482,9.745824506787134,10.909540954100036,10.810490814571244,10.51760171705998,10.79393522982578
LASC006407,18.099329672639342,0.005616882724921581,6.050245924456536,0.007034231991251436,2.6859951609750814,0.026343509098235657,-0.03532217848291069,0.04406400758427931,Duct,0.02667791170666898,0.01767999846220345,0.032004582775789193,Duct,-6.575986394561032,-0.27424323452617405,2.3795777217210765,7.070310993609194,7.3694654221848275,7.427107369695314,6.458757774536459,7.311110535071976,6.362710631572838,5.611188489248684,5.523451396314728,6.006619361220134,4.229801033358685,6.833771021352924,2.852483731948055,2.852483731948055,2.852483731948055,2.852483731948055,2.852483731948055,3.8947813833697458
dhh-a,36.57477516788093,3.194283080524954e-4,0.2069927610080277,0.0036304344144599925,5.298533819501721,0.002996089656112877,-0.046197111639200386,0.046294164611019935,Duct,0.013171355475891846,0.037538583698678754,0.03978228086944006,Duct,-7.528199824654089,-5.234101567157628,7.264197191452805,7.343208340945059,6.768764888896175,7.321267398791366,5.145611876779334,4.278170467771137,2.852483731948055,2.852483731948055,3.3354929364298718,2.852483731948055,2.852483731948055,4.049885167150468,2.852483731948055,2.852483731948055,2.852483731948055,2.852483731948055,2.852483731948055,2.852483731948055
LASC007848,44.810262206472565,0.002440232688043941,1.1592322285251935,5.834840295489273e-5,0.04248402377085411,0.007193689177443346,-0.02431367508057272,0.02535555086968785,Duct,0.018476340656214445,0.02826960611194128,0.033771967573252085,Duct,-3.3373036004736036,-1.178390649086285,2.8609056166186195,6.32589125682472,6.216516899294353,5.82280509329295,4.817436012945209,4.86405064567693,3.3920661699679746,4.930035774151251,4.509542754260515,3.723564744497385,3.6673474344057624,4.937933354155709,4.229103686063919,2.852483731948055,2.852483731948055,3.7568879299007363,3.628562935831896,3.5973328772262634
ank1_12,6.0588795128285104,9.341483910098982e-4,0.2896568561603575,0.0021231695223568425,0.840782871823421,0.0033214159679534026,-0.01678061072989228,0.0171061597239226,Duct,0.010194650597698767,0.01786904586532588,0.020572644481113258,Duct,-0.7220117749693883,-0.5656231877138215,1.1564115638468422,5.003250200096246,5.598847689187955,6.880626576146616,5.373806053330948,4.953962712107677,2.852483731948055,5.611188489248684,4.509542754260515,5.710080135177292,4.424958978281559,5.038898182404673,2.852483731948055,4.141008282201213,2.852483731948055,3.9516002637980114,6.2449406707276855,5.568744399876865
fzd4,161.7775980798812,5.206260175572327e-4,0.10185067949782549,0.003982155703830041,1.1551612850199,0.006714997697050908,-0.042325839451520686,0.042855196643432916,Duct,0.017488102268085927,0.03377038378603394,0.038029890112844876,Duct,-2.646690302929458,-2.002143464351802,3.2618480012290343,9.499594375248053,9.718774324462236,10.721007581635634,9.140331524053702,8.463850129924642,7.199347367858251,7.366460966121061,6.818350498308146,5.877509233869963,6.912685990888386,6.553902984062867,7.469467699233328,6.292832804243181,6.226542638610669,5.188819813031826,6.070189683128972,5.862037974662587
znf112_7,11.424589881221324,2.298633150281747e-4,0.08998292664350704,0.0015254825578961745,0.4697451788458634,0.010197300958539341,-0.00930190195476206,0.013802547837810004,Duct,0.02439455417619416,0.006065534056991361,0.02513732238826948,Duct,-2.181898921049655,0.7886036692936823,0.6755263572145396,5.133422222246305,5.618138941242077,5.428201150011667,5.338358441554242,5.14233728576416,4.480921007373277,5.313247209834531,5.414087979793209,6.318884211319416,5.290510283307958,4.343667390171386,4.737126776759022,4.141008282201213,3.351666286543277,3.9516002637980114,4.65661130769897,3.2856854478652116
