geneNameProtein,rank,cluster,p_val_adj,avg_log2FC,pct.1,pct.2
MaSp1a,1,ZoneA_MaSp1,0,4.026601071010118,0.921,0.205
MaSp1b,2,ZoneA_MaSp1,0,6.341248764189167,0.909,0.269
MaSp1c,3,ZoneA_MaSp1,0,6.382268142256631,0.847,0.192
MaSp2f,1,ZoneA_MaSp2,0,5.56678789362206,0.973,0.314
MaSp2c,2,ZoneA_MaSp2,0,2.510519597033804,0.963,0.342
MaSp2b,3,ZoneA_MaSp2,0,10.312850812986923,0.952,0.223
MaSp2e,4,ZoneA_MaSp2,0,5.996028495660607,0.948,0.288
MaSp4,12,ZoneA_MaSp2,1.2395803470064823e-242,6.175112029117843,0.463,0.112
MaSp1a,13,ZoneA_MaSp2,1.0153436712830856e-240,0.934002042466485,0.454,0.209
SpiCE-LMa6,6,ZoneA_SpiCE-LMa3,0,3.8765609947309567,0.659,0.342
SpiCE-LMa5,11,ZoneA_SpiCE-LMa3,1.3717963570684227e-291,5.824404886123403,0.614,0.322
SpiCE-LMa3,28,ZoneA_SpiCE-LMa3,1.7927274637513074e-167,2.636404628242029,0.525,0.31
MaSp3b,1,ZoneB_MaSp3,0,5.970087944841174,0.911,0.086
MaSp3a,5,ZoneB_MaSp3,0,8.78225195805021,0.727,0.032
SpiCE-LMa2,6,ZoneB_MaSp3,0,3.455190930724493,0.684,0.183
AmSp-like2,8,ZoneB_MaSp3,0,9.45809906084677,0.62,0.086
AmSp-like1,12,ZoneB_MaSp3,1.0599221551347207e-221,11.159964368215777,0.469,0.089
SpiCE-LMa4,68,ZoneB_MaSp3,3.6380819918888615e-67,4.380785073063876,0.3,0.1
SpiCE-LMa1,1,ZoneC_SpiCE-LMa1,0,6.188102474219367,1,0.128
SpiCE-LMa2,11,ZoneC_SpiCE-LMa1,0,3.1550228923332355,0.973,0.154
SpiCE-LMa4,85,ZoneC_SpiCE-LMa1,7.100439249277288e-125,1.86932114413558,0.523,0.078
