samplename	sampleID	orig.ident	Year	Batch	Silk_status	NGI_Sample_ID	Sample_nr	Library_info	Silked_status	cDNA Conc (nM)	Estimated_Number_of_Cells	Mean_Reads_per_Cell	Median_Genes_per_Cell	Number_of_Reads	Valid_Barcodes	Sequencing_Saturation	Q30_Bases_in_Barcode	Q30_Bases_in_RNA_Read	Q30_Bases_in_Sample_Index	Q30_Bases_in_UMI	Reads_Mapped_to_Genome	Reads_Mapped_Confidently_to_Genome	Reads_Mapped_Confidently_to_Intergenic_Regions	Reads_Mapped_Confidently_to_Intronic_Regions	Reads_Mapped_Confidently_to_Exonic_Regions	Reads_Mapped_Confidently_to_Transcriptome	Reads_Mapped_Antisense_to_Gene	Fraction_Reads_in_Cells	Total_Genes_Detected	Median_UMI_Counts_per_Cell
P14601_1001_Results	Sample_1a	Sample_1a	2019	B1	Silked	P14601_1001	S1	S1_1	Silked	27.2	153	199.668	517	30549278	90.1%	36.2%	96.2%	94.6%	93.9%	95.7%	76.9%	73.7%	30.8%	22.1%	20.9%	17.9%	1.7%	26.8%	10.096	1.412
P14601_1002_Results	Sample_1b	Sample_1b	2019	B1	Silked	P14601_1002	S1	S1_2	Silked	27.6	115	255.651	531	29399972	89.5%	36.2%	96.2%	94.5%	94.7%	95.8%	76.3%	72.9%	31.6%	21.1%	20.2%	16.9%	2.0%	28.4%	9.883	1.755
P14601_1003_Results	Sample_2a	Sample_2a	2019	B1	nonSilked	P14601_1003	S2	S2_1	Non-silked	36.6	503	38.515	832	19373312	90.2%	23.8%	96.4%	94.1%	95.4%	96.0%	78.0%	72.2%	20.4%	21.4%	30.4%	26.2%	1.1%	77.6%	11.476	2.473
P14601_1004_Results	Sample_2b	Sample_2b	2019	B1	nonSilked	P14601_1004	S2	S2_2	Non-silked	25.9	540	36.944	760	19949881	90.0%	24.5%	96.6%	94.0%	94.5%	96.3%	79.0%	73.6%	22.1%	20.9%	30.6%	26.3%	1.1%	75.7%	11.456	2.158
P14601_1005_Results	Sample_3a	Sample_3a	2019	B1	Silked	P14601_1005	S3	S3_1	Silked	69.7	604	37.28	588	22517133	92.3%	29.3%	96.6%	94.4%	92.8%	96.2%	86.1%	79.5%	28.2%	11.2%	40.0%	35.2%	1.0%	65.7%	11.177	1.618
P14601_1006_Results	Sample_3b	Sample_3b	2019	B1	Silked	P14601_1006	S3	S3_2	Silked	42	594	52.472	817	31168489	92.0%	29.2%	96.5%	94.2%	94.3%	96.2%	82.6%	74.5%	29.5%	12.5%	32.5%	28.6%	1.3%	67.6%	11.377	2.532
P14601_1007_Results	Sample_4a	Sample_4a	2019	B1	nonSilked	P14601_1007	S4	S4_1	Non-silked	33	261	96.629	758	25220339	88.3%	37.0%	96.6%	94.5%	94.8%	96.2%	79.8%	73.8%	28.2%	15.3%	30.4%	26.1%	1.3%	59.0%	11.188	1.873
P14601_1008_Results	Sample_4b	Sample_4b	2019	B1	nonSilked	P14601_1008	S4	S4_2	Non-silked	45.3	253	103.263	609	26125690	87.1%	37.7%	96.6%	94.7%	91.1%	96.2%	80.5%	75.5%	31.3%	14.8%	29.3%	25.0%	1.3%	52.9%	10.958	1.542
P14601_1009_Results	Sample_5a	Sample_5a	2019	B1	nonSilked	P14601_1009	S5	S5_1	Non-silked	49.6	259	72.738	734	18839168	86.5%	25.4%	96.3%	94.3%	93.9%	95.9%	80.3%	75.3%	34.1%	17.9%	23.3%	19.1%	2.5%	50.9%	10.563	1.796
P14601_1010_Results	Sample_5b	Sample_5b	2019	B1	nonSilked	P14601_1010	S5	S5_2	Non-silked	50.7	282	70.239	701	19807399	86.9%	27.9%	96.5%	94.4%	92.9%	96.1%	82.2%	76.7%	32.3%	14.7%	29.8%	25.3%	1.4%	52.6%	11.013	1.687
