gene_id,geneName,geneNameProtein,silkGroup
maker-000173F-est_gff_StringTie-gene-11.1,xync,SpiCE-LMa2,Spice-LMa
maker-000001F-est_gff_StringTie-gene-16.1,LASC000319,SpiCE-LMa3,Spice-LMa
maker-000113F-est_gff_StringTie-gene-7.0,LASC009843,SpiCE-LMa6,Spice-LMa
maker-000181F-est_gff_StringTie-gene-10.2,LASC013229,SpiCE-LMa1,Spice-LMa
maker-000078F-est_gff_StringTie-gene-26.2,Spice_8,SpiCE-LMa5,Spice-LMa
maker-000311F-est_gff_StringTie-gene-6.8,tpo_pxt,SpiCE-LMa4,Spice-LMa
maker-000003F-est_gff_StringTie-gene-29.1,Spidroin1,AmSp-like1,AmSp-like
evm-000033F-processed-gene-22.11,MaSp4,MaSp4,MaSp4
evm-000033F-processed-gene-24.21-GeneB,MaSp2b,MaSp2b,MaSp2
evm-000033F-processed-gene-24.21-GeneA,MaSp2c,MaSp2c,MaSp2
evm-000033F-processed-gene-27.15-GeneA,MaSp1a,MaSp1a,MaSp1
evm-000033F-processed-gene-27.15-GeneB,MaSp1b,MaSp1b,MaSp1
evm-000033F-processed-gene-27.15-GeneC,MaSp1c,MaSp1c,MaSp1
evm-000033F-processed-gene-27.15-GeneD,MaSp3a,MaSp3a,MaSp3
evm-000033F-processed-gene-27.15-GeneE,MaSp3b,MaSp3b,MaSp3
maker-000428F-est_gff_StringTie-gene-4.8,Spidroin3,AmSp-like2,AmSp-like
maker-000175F-exonerate_protein2genome-gene-8.3-GeneA,MaSp2e,MaSp2e,MaSp2
maker-000175F-exonerate_protein2genome-gene-8.3-GeneB,MaSp2f,MaSp2f,MaSp2
