Image,Object ID,Name,Class,Parent,ROI,x,y,Hematoxylin_Mean,Hematoxylin_Stdev,Eosin_Mean,Eosin_Stdev,Area,Perimeter px,slide,Region,ID,ID2,class,clusters
ImageI,021795c3-baab-477a-bf84-8b25defaa112,ZoneA,ZoneA,Image,Ellipse,229.5,379.5,0.0878,0.0069,0.0677,0.0059,490.87,78.54,zoneA,Vesicle,1,ZoneA_1,1,1
ImageI,3102a31e-ce57-4023-81f3-776672484c4e,ZoneA,ZoneA,Image,Ellipse,140,198,0.1189,0.0092,0.089,0.0096,201.06,50.27,zoneA,Vesicle,2,ZoneA_2,1,1
ImageI,fad36cbb-c777-4951-8156-3219db9c5d93,ZoneA,ZoneA,Image,Ellipse,147,372,0.0988,0.0077,0.0688,0.0065,380.13,69.12,zoneA,Vesicle,3,ZoneA_3,1,1
ImageI,f6c9d495-a287-4ba0-98f8-fa3f77dd70c5,ZoneA,ZoneA,Image,Ellipse,313,268,0.0644,0.0054,0.0488,0.0049,254.47,56.55,zoneA,Vesicle,4,ZoneA_4,1,1
ImageI,d0d7caa6-eb50-4c2f-b909-6df8676b7089,ZoneA,ZoneA,Image,Ellipse,154.5,252,0.1065,0.0091,0.0835,0.0089,296.88,61.35,zoneA,Vesicle,5,ZoneA_5,1,1
ImageI,b952feeb-52a4-455d-ae2f-61244a41558a,ZoneA,ZoneA,Image,Ellipse,12,274,0.1616,0.0055,0.0916,0.0065,153.94,43.98,zoneA,Vesicle,6,ZoneA_6,1,1
ImageI,4e57ce7a-e432-47c6-be05-05572616cbc7,ZoneA,ZoneA,Image,Ellipse,197.5,365,0.0849,0.0064,0.0653,0.0067,329.87,64.41,zoneA,Vesicle,7,ZoneA_7,1,1
ImageI,1cf95094-d5f0-4b93-bd49-4c9164b86bbc,ZoneA,ZoneA,Image,Ellipse,280,208,0.0779,0.0075,0.0638,0.0063,254.47,56.55,zoneA,Vesicle,8,ZoneA_8,1,1
ImageI,5edce164-646a-46a4-9436-94220dbb3c64,ZoneA,ZoneA,Image,Ellipse,188,264,0.0963,0.0087,0.0717,0.0094,254.47,56.55,zoneA,Vesicle,9,ZoneA_9,1,1
ImageI,42161704-2479-4738-a3a6-dee56c25341b,ZoneA,ZoneA,Image,Ellipse,160.5,224.5,0.1027,0.0116,0.0742,0.008,415.48,72.26,zoneA,Vesicle,10,ZoneA_10,1,1
ImageI,87f58fc0-92c0-4457-bddb-311afb8fa31a,ZoneA,ZoneA,Image,Ellipse,34.5,181,0.1644,0.0089,0.093,0.0079,397.41,70.69,zoneA,Vesicle,11,ZoneA_11,1,1
