Image,Object ID,Name,Class,Parent,ROI,x,y,Hematoxylin_Mean,Hematoxylin_Stdev,Eosin_Mean,Eosin_Stdev,ROI: 1.00 px per pixel: Saturation: Mean,ROI: 1.00 px per pixel: Saturation: Std.dev.,Area,Max diameter px,minDiameter,Perimeter,slide
P18163_1001_HE.png,04e71c53-4d8b-4ba8-bb65-6c1ce4d6f353,ZoneA,ZoneA,Image,Geometry,2015.1,2824.7,0.8196,0.2733,0.3235,0.0973,0.628,0.108,4898.3,87.818,79,346.91,Slide1
P18163_1001_HE.png,cd7dfab7-ac42-4669-a73b-8c39b3a5f440,Duct,Duct,Image,Polygon,2869.5,2165.9,0.2589,0.1911,0.3932,0.239,0.4302,0.2106,494,28.7924,23,100,Slide1
P18163_1001_HE.png,9cab3995-1d1d-4616-8018-5e6bd8f82c7c,ZoneA,ZoneA,Image,Polygon,2936.2,1989.3,0.959,0.2131,0.2493,0.0631,NA,NA,5176.3,159.2608,69.683,599.77,Slide1
P18163_1001_HE.png,254539a8-9ae3-4143-a843-6dcd7bd78ed9,ZoneA,ZoneA,Image,Geometry,2399.6,2920.6,0.8137,0.2917,0.3024,0.0985,0.6039,0.1308,6292.7,114.6342,88.3883,442.22,Slide1
P18163_1001_HE.png,75b92a53-d5a6-40d3-8a42-4a74c1fde86d,ZoneA,ZoneA,Image,Geometry,3069.4,2028.5,0.7917,0.2152,0.281,0.0951,NA,NA,5801,168.6713,90.9096,771.51,Slide1
P18163_1001_HE.png,0820e412-8b79-4671-adc4-55c223e8eeb7,ZoneA,ZoneA,Image,Polygon,2669.9,2987.9,0.9292,0.2563,0.2928,0.1048,0.6198,0.0986,5748.3,126.1507,58.2607,322.24,Slide1
P18163_1001_HE.png,7d90fed5-543b-4c5a-b7da-14f2544a9699,Duct,Duct,Image,Polygon,2912.1,2115.1,0.2468,0.2081,0.389,0.2345,0.4313,0.2057,632.5,36.6879,22.2524,97.84,Slide1
P18163_1001_HE.png,3a90a9e4-981c-4ef1-a734-f37a8157ba84,ZoneA,ZoneA,Image,Polygon,2660.4,1959.7,0.7747,0.2533,0.2911,0.0808,0.5846,0.1216,7569.9,150.12,82,595.43,Slide1
P18163_1001_HE.png,0e710991-6848-4d1f-bbda-fab48f89efe5,ZoneA,ZoneA,Image,Geometry,2064.4,2869.5,0.856,0.2769,0.3348,0.1034,0.638,0.1007,6579.6,119.6202,81.3665,460.25,Slide1
P18163_1001_HE.png,86d64bba-15e9-4dc2-8ab9-3d9f118c47fb,ZoneA,ZoneA,Image,Geometry,3044.4,2133.4,0.7928,0.2527,0.2359,0.07,NA,NA,8792.3,213.3776,130.5701,1026.6,Slide1
P18163_1001_HE.png,4d3488b3-7357-499e-aee1-26fe067ed35b,ZoneA,ZoneA,Image,Geometry,1984.5,2759.4,0.8241,0.3199,0.3333,0.1109,0.6201,0.1221,6321.9,108.462,87.2702,441.63,Slide1
P18163_1001_HE.png,e8078205-03e7-4a75-80e7-0e1eb0b0c43c,ZoneA,ZoneA,Image,Geometry,2656.9,1870.5,0.7775,0.3501,0.2755,0.1486,0.5562,0.1841,8225.6,126.6689,94.1357,524.63,Slide1
P18163_1001_HE.png,807a3e5c-a1b0-41b6-83d0-577ab97cc770,ZoneA,ZoneA,Image,Geometry,2031.7,2950.8,0.7208,0.2195,0.3547,0.1169,0.6168,0.1068,4588.3,90.8754,72,325.63,Slide1
P18163_1001_HE.png,4d079807-ee46-4b88-91cd-2a1f8f5aea96,ZoneA,ZoneA,Image,Geometry,1960.4,2697.6,0.8661,0.3669,0.279,0.1484,0.5855,0.1468,10864.1,133.094,113,488.14,Slide1
P18163_1001_HE.png,04dac0e1-6d2e-44b3-852e-e5ab75fce919,ZoneA,ZoneA,Image,Geometry,2125.1,2960.7,0.7301,0.1691,0.3612,0.0752,0.6319,0.0564,9463.5,147.9595,107.1546,644.23,Slide1
P18163_1001_HE.png,29dfffef-f4a1-4eed-954c-e5cd7384e9b7,ZoneA,ZoneA,Image,Polygon,2809.2,1950.3,0.7058,0.3279,0.3182,0.1323,0.553,0.1776,4175.5,135.6798,87.9566,465.95,Slide1
P18163_1001_HE.png,3e7ca230-0bb4-4368-9e52-d08a049b7151,ZoneA,ZoneA,Image,Polygon,3283.9,2044,0.879,0.165,0.3726,0.1027,NA,NA,1265.9,47.1699,37.1768,140.76,Slide1
P18163_1001_HE.png,0f26b818-9c3e-4037-900a-893df24acc2d,ZoneA,ZoneA,Image,Geometry,2485.6,1967,0.8899,0.27,0.2741,0.1002,0.6046,0.1192,5850.1,109.2928,83.0362,460.49,Slide1
P18163_1001_HE.png,6f6ce3e6-036d-4436-89c0-d6db71607f13,ZoneA,ZoneA,Image,Geometry,2375.8,3027.9,0.812,0.1642,0.3262,0.0696,0.6291,0.0524,3673.1,84.8892,70.372,365.56,Slide1
P18163_1001_HE.png,7063fad5-0294-4af8-81ef-ded3a3462863,ZoneA,ZoneA,Image,Geometry,2265.2,2917.7,0.82,0.1916,0.3425,0.0772,0.6449,0.0535,10518.1,169.3875,106.891,733.08,Slide1
P18163_1001_HE.png,3b3893ee-d67d-4e8c-a483-1567b3e88969,Region*,Region*,Image,Rectangle,2630.5,2524.5,0.5268,0.3601,0.2218,0.1655,NA,NA,2069937,2035.4385,1411,5756,Slide1
P18163_1001_HE.png,cdf1c376-3dcf-49ab-891f-3e95e78a5ce0,ZoneA,ZoneA,Image,Geometry,2490.6,3031.4,0.8545,0.2967,0.2616,0.086,0.5918,0.1285,15687.9,180.3136,108.7883,671.32,Slide1
P18163_1001_HE.png,f1335622-203a-4856-954d-313073b57cf8,ZoneA,ZoneA,Image,Polygon,2165.8,2870.8,0.8442,0.193,0.3553,0.0832,0.6598,0.0297,2851.8,76.4848,47,202.46,Slide1
P18163_1001_HE.png,a189e91d-e960-4333-bd25-954da496e008,ZoneA,ZoneA,Image,Polygon,2570.8,2988.7,0.8735,0.323,0.2561,0.096,0.5906,0.1289,8217.6,129.6187,92.4506,427.17,Slide1
P18163_1001_HE.png,b093331b-0f96-41e6-a468-de46bb375947,ZoneA,ZoneA,Image,Geometry,2514.9,2051.6,0.9421,0.2509,0.2948,0.0902,0.6308,0.1021,5613.4,113.5341,76.2892,431.23,Slide1
P18163_1001_HE.png,54499cc8-48ba-46e8-a2ec-25c4d1e5f9d1,ZoneC,ZoneC,Image,Geometry,2815.6,2064.7,0.7817,0.2721,0.0789,0.1262,0.4583,0.1165,28366.1,250.5115,173.56,843.01,Slide1
P18163_1001_HE.png,3d24e770-6798-4901-9ad9-30e36a52c844,ZoneA,ZoneA,Image,Geometry,3227,2001.8,0.8669,0.2598,0.3316,0.1359,NA,NA,2083.7,72.8011,56.7738,342.57,Slide1
P18163_1001_HE.png,4591400f-a87e-44f7-9bf6-73bbbfa2662d,ZoneA,ZoneA,Image,Polygon,2647.1,3181.9,0.8962,0.2161,0.3095,0.084,0.635,0.0705,6625.6,102.4207,86,297.12,Slide1
P18163_1001_HE.png,e1ef7111-9033-46ed-9aa0-c8c8f43fe0ec,ZoneC,ZoneC,Image,Geometry,2516.6,2891.5,0.8089,0.3357,0.0671,0.0758,0.4577,0.1178,13037.2,190.683,101.3761,745.05,Slide1
P18163_1001_HE.png,637e16fe-7ed9-4f55-a0e9-2ee2389b9728,ZoneA,ZoneA,Image,Geometry,2556.7,3120.8,0.9082,0.2181,0.3063,0.0862,0.6332,0.0768,9229.5,119.673,99,385.9,Slide1
P18163_1001_HE.png,c15ced2c-5471-4989-ac05-ee3b21493789,ZoneA,ZoneA,Image,Geometry,2603.4,2029.3,0.9181,0.1769,0.264,0.0541,0.6263,0.0463,6300.5,112.6693,86.874,480.07,Slide1
P18163_1001_HE.png,393cf9a9-829d-4f54-9411-2abf05ab54ec,ZoneA,ZoneA,Image,Geometry,2559.9,1905.9,0.8616,0.2283,0.312,0.0942,0.6226,0.0988,3026,96.2081,70.0147,507.26,Slide1
P18163_1001_HE.png,3e95be24-52e5-4740-888e-233979ff404c,ZoneA,ZoneA,Image,Geometry,2299.4,2993.1,0.8672,0.1664,0.2908,0.0618,0.6316,0.0384,4349.8,96.5905,77.7718,434.83,Slide1
P18163_1001_HE.png,a840c077-9931-43ca-814b-851de8b61ec0,ZoneA,ZoneA,Image,Geometry,3301.5,2115,0.9617,0.1671,0.2828,0.064,NA,NA,4661,121.3532,68.4237,556.35,Slide1
P18163_1001_HE.png,f56c8045-7fcf-44ee-8e29-077d394cc79d,ZoneA,ZoneA,Image,Polygon,3187.1,2076.2,0.9662,0.2049,0.293,0.0753,NA,NA,3032.7,70.2639,55.2981,201.86,Slide1
P18163_1002_HE.png,125f9b0e-4211-44d2-a351-5e5bc981480b,ZoneC,ZoneC,Image,Geometry,1836.9,2042,0.8712,0.2462,0.1513,0.1044,NA,NA,31054.1,343.3846,260.359,1726.6,Slide2
P18163_1002_HE.png,7062979b-ac76-44b3-b967-e21a66d02cfa,ZoneA,ZoneA,Image,Geometry,1946.9,2242,0.5082,0.234,0.4529,0.1111,NA,NA,9338,204.6733,102.5536,944.11,Slide2
P18163_1002_HE.png,a2e050a9-3f91-4ab2-8297-c73abdd62ee0,ZoneA,ZoneA,Image,Polygon,2331,2017.9,0.7083,0.2078,0.4311,0.0736,NA,NA,2748.2,117.72,63.1736,378.26,Slide2
P18163_1002_HE.png,ce0b4640-90cc-45a6-be5b-1ce6575d1677,Region*,Region*,Image,Rectangle,1994.5,2013,0.5302,0.3502,0.3085,0.1797,NA,NA,512316,NA,684,2866,Slide2
