p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.1840710449292997e-93,3.6936497324063304,0.847,0.226,2.7177982694262215e-89,ZoneC,LASC010016
1.052300246936154e-89,2.081843532479836,0.716,0.09,2.4153447567925542e-85,ZoneC,LASC017213
4.8977596628656056e-89,3.2802407639562725,0.854,0.262,1.1241827754175424e-84,ZoneC,LASC004595
2.121372020898777e-88,2.4571798068186004,0.746,0.118,4.869185199568963e-84,ZoneC,LASC018595
2.4019520612183392e-85,4.70008113087709,0.907,0.478,5.513200566114454e-81,ZoneC,LASC012648
4.3472895793500366e-85,3.6685376850781353,0.877,0.322,9.978333771482138e-81,ZoneC,LASC017532
6.694101821308859e-85,2.953381893992449,0.784,0.167,1.5364971910450225e-80,ZoneC,LASC007993
1.0732038915379611e-83,2.692586901783159,0.75,0.142,2.463324892247082e-79,ZoneC,LASC020242
4.35589682517555e-82,4.496627893087551,0.944,0.703,9.99808998282544e-78,ZoneC,spa
5.2101438630846826e-82,1.8191973473386711,0.683,0.093,1.1958843208938273e-77,ZoneC,far1-wat
3.0611654589907075e-78,3.431323711679279,0.869,0.393,7.0262930780213706e-74,ZoneC,pnliprp1
1.0973219589714892e-76,2.029234373130766,0.675,0.099,2.518683092427259e-72,ZoneC,LASC005034
4.711809694027591e-76,4.078888645920519,0.892,0.473,1.081501679070153e-71,ZoneC,LASC013229
2.946625356249872e-72,1.5196256162914874,0.563,0.047,6.763389180200332e-68,ZoneC,LASC022179
2.48967309835423e-69,1.250637625174354,0.563,0.052,5.7145466626524645e-65,ZoneC,aael008004-elovl1
9.546181683718031e-66,2.6638367128443408,0.944,0.639,2.1911350818638e-61,ZoneC,xync
4.7134311323636965e-65,1.0644271014447622,0.507,0.038,1.0818738478114393e-60,ZoneC,spz3-2
5.9141148760399216e-65,1.513030729853701,0.582,0.08,1.3574667874974433e-60,ZoneC,nrf-6-9
3.048519315419713e-63,2.9789126329146507,0.66,0.132,6.997266384682867e-59,ZoneC,LASC007995
9.384269040446297e-61,1.1979854532526235,0.537,0.066,2.1539712728536387e-56,ZoneC,ttpal-clvs2-3
8.254324184904915e-60,0.9758268355996915,0.522,0.057,1.8946150301612252e-55,ZoneC,pnliprp3-pnlip
1.1263540733833002e-58,1.763583897244839,0.701,0.189,2.585320504636689e-54,ZoneC,agmo-3
3.1539321506246617e-58,1.291493358701484,0.552,0.079,7.239220465328786e-54,ZoneC,LASC007099
3.6481076973064596e-58,1.2147772801109213,0.91,0.497,8.373501597627517e-54,ZoneC,sp-1339#prd34368.1-4
1.4195075629970937e-57,1.6356808827711034,0.731,0.213,3.2581957093472293e-53,ZoneC,cyp4v2-15
2.476963643259694e-56,1.623667599781594,0.881,0.461,5.685374650373976e-52,ZoneC,LASC005273
2.183992017017198e-55,1.3774094229632703,0.69,0.172,5.0129168766595744e-51,ZoneC,LASC009784
1.4714948148649272e-54,0.9351404595058176,0.485,0.055,3.3775220485594674e-50,ZoneC,fasn-8
1.2462822120599534e-53,1.57215908923059,0.459,0.046,2.8605915613412113e-49,ZoneC,jhamt-7
1.2202749336142252e-52,1.6691760126935278,0.75,0.256,2.800897055124731e-48,ZoneC,LASC016881
1.735365375809507e-52,1.3458323462952515,0.493,0.063,3.983184147095562e-48,ZoneC,LASC017219
