geneName,Part,relativeIntensity,gland
14-3-3zeta_ywhab,Gland,0.0013144766052106283,Minor
AcSpa,Dope,0.0024935160742757595,Minor
AcSpa,Gland,4.5420206636355307e-4,Minor
AcSpa,Silk,0.017453803255220668,Minor
AgSp1,Dope,2.60701908094318e-4,Minor
AgSp2b;AgSp2a,Dope,3.975083688150077e-4,Minor
AgSp2b;AgSp2a,Gland,1.0690878605244786e-4,Minor
CON__P00761,Dope,0.3703017102208753,Minor
CON__P00761,Gland,0.03068370493680322,Minor
CON__P00761,Silk,1.0708684038354992,Minor
CON__P02533;CON__Q61782;CON__P35900;CON__Q9D312;CON__Q8N1A0,Dope,0.0036826698646275618,Minor
CON__P02533;CON__Q61782;CON__P35900;CON__Q9D312;CON__Q8N1A0,Gland,2.244560526470529e-4,Minor
CON__P02533;CON__Q61782;CON__P35900;CON__Q9D312;CON__Q8N1A0,Silk,0.00179156434153601,Minor
CON__P02768-1,Dope,5.13961295315635e-4,Minor
CON__P02769,Dope,6.256827506497634e-4,Minor
CON__P02769,Gland,1.0352946058711958e-4,Minor
CON__P04264,Dope,0.02885897158283405,Minor
CON__P04264,Gland,0.0020455634750316818,Minor
CON__P04264,Silk,0.029029845643105814,Minor
CON__P07477,Dope,1.8184430710126409e-4,Minor
CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8,Dope,2.8175746273073014e-4,Minor
CON__P13645;CON__P02535-1;CON__Q7Z3Y7;CON__Q148H6;CON__Q2M2I5;CON__Q7Z3Z0;CON__Q99456;CON__Q7Z3Y8;CON__P05784;CON__Q497I4;CON__O76015;CON__Q9UE12;CON__Q14532;CON__O76013;CON__Q7Z3Y9;CON__O76014;CON__REFSEQ:XP_986630;CON__Q92764;CON__A2A5Y0;CON__Q15323;CON__Q14525,Dope,0.028241415668517574,Minor
CON__P13645;CON__P02535-1;CON__Q7Z3Y7;CON__Q148H6;CON__Q2M2I5;CON__Q7Z3Z0;CON__Q99456;CON__Q7Z3Y8;CON__P05784;CON__Q497I4;CON__O76015;CON__Q9UE12;CON__Q14532;CON__O76013;CON__Q7Z3Y9;CON__O76014;CON__REFSEQ:XP_986630;CON__Q92764;CON__A2A5Y0;CON__Q15323;CON__Q14525,Gland,0.002507983124724405,Minor
CON__P13645;CON__P02535-1;CON__Q7Z3Y7;CON__Q148H6;CON__Q2M2I5;CON__Q7Z3Z0;CON__Q99456;CON__Q7Z3Y8;CON__P05784;CON__Q497I4;CON__O76015;CON__Q9UE12;CON__Q14532;CON__O76013;CON__Q7Z3Y9;CON__O76014;CON__REFSEQ:XP_986630;CON__Q92764;CON__A2A5Y0;CON__Q15323;CON__Q14525,Silk,0.03814949914673716,Minor
CON__P13647,Dope,0.0011833124673996799,Minor
CON__P13647,Gland,1.437504392564415e-4,Minor
CON__P13647,Silk,6.162900231245997e-4,Minor
CON__P15636,Dope,0.11622319396034717,Minor
CON__P15636,Gland,0.004725629846191867,Minor
CON__P35527,Dope,0.013152016693479152,Minor
CON__P35527,Gland,8.966443595821419e-4,Minor
CON__P35527,Silk,0.0030943290729342036,Minor
CON__P35908v2,Dope,0.011277636888820834,Minor
CON__P35908v2,Gland,5.461737650549333e-4,Minor
CON__P35908v2,Silk,0.002792518405682109,Minor
CON__P48668;CON__P04259,Dope,1.5820713931896264e-4,Minor
CON__Q04695;CON__P19001,Dope,1.410164681283605e-4,Minor
CaAn_20,Gland,5.628865152673189e-4,Minor
FlSpa,Dope,7.892625061829337e-4,Minor
FlSpa,Gland,5.334995852611493e-4,Minor
FlSpb,Dope,0.001309015723632631,Minor
FlSpb,Gland,0.004298214019470352,Minor
FlSpc,Dope,1.5532994555332715e-4,Minor
FlSpc,Gland,2.0074919233271566e-4,Minor
LASC000038,Gland,0.004339243791191184,Minor
LASC000095,Gland,0.0018512549851273693,Minor
LASC000281,Gland,0.002291714772404161,Minor
LASC000319,Dope,0.006870143096514605,Minor
LASC000319,Gland,0.0031349094387313633,Minor
LASC000747,Gland,6.849619619279515e-4,Minor
LASC001726,Gland,0.014859345722050837,Minor
LASC001730,Gland,0.0012200083892964883,Minor
LASC001731,Gland,6.195837485642416e-4,Minor
LASC001732,Gland,2.776886410366281e-4,Minor
LASC001932,Gland,3.3729810740372793e-4,Minor
LASC002299,Gland,3.9670598483533954e-4,Minor
LASC002397,Gland,4.5440706333516815e-4,Minor
LASC002717,Gland,1.449740562586085e-4,Minor
LASC002879,Gland,2.5252150807207076e-4,Minor
LASC003125,Gland,1.7904662147456675e-4,Minor
