gene_id,Length
maker-000562F-est_gff_StringTie-gene-1.0,5787
maker-000562F-est_gff_StringTie-gene-1.2,3842
maker-000562F-est_gff_StringTie-gene-1.1,1390
maker-000562F-est_gff_StringTie-gene-1.3,5288
augustus_masked-000562F-processed-gene-1.17,1377
augustus_masked-000562F-processed-gene-1.15,1017
maker-000562F-exonerate_protein2genome-gene-1.7,907
maker-000562F-exonerate_protein2genome-gene-1.8,9033
maker-000716F-est_gff_StringTie-gene-0.0,418
augustus_masked-001568F-processed-gene-0.0,459
maker-001456F-exonerate_protein2genome-gene-0.0,1786
maker-000864F-est_gff_StringTie-gene-0.1,2272
maker-000864F-augustus-gene-0.8,1236
maker-000864F-est_gff_StringTie-gene-0.2,1066
maker-000864F-est_gff_StringTie-gene-0.6,1123
maker-000076F-est_gff_StringTie-gene-0.0,1101
maker-000076F-est_gff_StringTie-gene-0.1,9451
maker-000076F-exonerate_protein2genome-gene-1.1,6353
maker-000076F-est_gff_StringTie-gene-4.0,1800
maker-000076F-est_gff_StringTie-gene-5.0,517
maker-000076F-est_gff_StringTie-gene-4.1,372
maker-000076F-est_gff_StringTie-gene-8.0,11152
evm-000076F-processed-gene-9.15,6439
evm-000076F-processed-gene-9.13,952
maker-000076F-est_gff_StringTie-gene-8.1,1106
maker-000076F-est_gff_StringTie-gene-9.4,764
maker-000076F-exonerate_protein2genome-gene-9.1,222
maker-000076F-est_gff_StringTie-gene-9.2,937
maker-000076F-est_gff_StringTie-gene-10.0,4400
evm-000076F-processed-gene-10.0,3731
maker-000076F-est_gff_StringTie-gene-10.1,3644
maker-000076F-est_gff_StringTie-gene-11.2,3665
evm-000076F-processed-gene-11.9,5594
maker-000076F-augustus-gene-11.3,1614
maker-000076F-est_gff_StringTie-gene-11.1,3675
maker-000076F-exonerate_protein2genome-gene-12.0,1392
evm-000076F-processed-gene-12.5,5439
maker-000076F-est_gff_StringTie-gene-13.0,380
maker-000076F-est_gff_StringTie-gene-13.2,826
maker-000076F-est_gff_StringTie-gene-13.1,371
maker-000076F-est_gff_StringTie-gene-14.1,7073
maker-000076F-est_gff_StringTie-gene-14.0,236
maker-000076F-est_gff_StringTie-gene-15.0,3806
maker-000076F-est_gff_StringTie-gene-15.1,2301
maker-000076F-est_gff_StringTie-gene-16.1,4901
maker-000076F-est_gff_StringTie-gene-16.2,4272
maker-000076F-est_gff_StringTie-gene-16.4,3188
maker-000076F-est_gff_StringTie-gene-16.5,1595
maker-000076F-augustus-gene-16.18,6963
maker-000076F-est_gff_StringTie-gene-17.0,1121
maker-000076F-augustus-gene-18.0,510
maker-000076F-est_gff_StringTie-gene-18.0,7275
maker-000076F-est_gff_StringTie-gene-19.0,5765
augustus_masked-000076F-processed-gene-21.1,579
augustus_masked-000076F-processed-gene-21.2,552
augustus_masked-000076F-processed-gene-21.3,465
augustus_masked-000076F-processed-gene-21.7,426
augustus_masked-000076F-processed-gene-21.8,465
augustus_masked-000076F-processed-gene-21.9,486
augustus_masked-000076F-processed-gene-21.4,465
augustus_masked-000076F-processed-gene-22.5,495
augustus_masked-000076F-processed-gene-22.3,978
augustus_masked-000076F-processed-gene-22.4,495
augustus_masked-000076F-processed-gene-22.6,522
augustus_masked-000076F-processed-gene-22.12,582
augustus_masked-000076F-processed-gene-22.8,594
maker-000076F-est_gff_StringTie-gene-22.0,753
augustus_masked-000076F-processed-gene-22.10,582
augustus_masked-000076F-processed-gene-22.13,426
augustus_masked-000076F-processed-gene-22.14,549
maker-000076F-est_gff_StringTie-gene-24.0,6363
maker-000076F-est_gff_StringTie-gene-26.1,289
maker-000076F-est_gff_StringTie-gene-26.0,1326
augustus_masked-000076F-processed-gene-28.5,291
maker-000076F-est_gff_StringTie-gene-27.0,2977
maker-000076F-exonerate_protein2genome-gene-28.5,4275
evm-000076F-processed-gene-28.21,2939
maker-000076F-est_gff_StringTie-gene-28.2,4910
maker-000076F-exonerate_protein2genome-gene-28.6,7035
maker-000076F-est_gff_StringTie-gene-28.4,3118
maker-000076F-est_gff_StringTie-gene-29.1,4944
maker-000076F-exonerate_protein2genome-gene-29.4,6381
maker-000076F-est_gff_StringTie-gene-29.3,6796
maker-000076F-est_gff_StringTie-gene-29.0,6183
maker-000076F-est_gff_StringTie-gene-30.0,1700
maker-000076F-exonerate_protein2genome-gene-30.13,987
augustus_masked-000076F-processed-gene-30.34,3225
maker-000076F-exonerate_protein2genome-gene-30.15,1925
maker-000076F-est_gff_StringTie-gene-30.3,448
maker-000076F-augustus-gene-30.4,609
maker-000076F-augustus-gene-30.5,627
maker-000076F-augustus-gene-30.6,612
augustus_masked-000076F-processed-gene-30.42,652
maker-000076F-augustus-gene-30.8,843
maker-000076F-est_gff_StringTie-gene-30.6,306
maker-000076F-est_gff_StringTie-gene-30.7,328
maker-000076F-augustus-gene-30.11,627
augustus_masked-000076F-processed-gene-30.47,627
maker-000076F-est_gff_StringTie-gene-30.8,817
maker-000076F-est_gff_StringTie-gene-30.9,778
maker-000076F-augustus-gene-30.15,735
maker-000076F-augustus-gene-30.16,639
maker-000076F-est_gff_StringTie-gene-30.10,496
maker-000076F-augustus-gene-30.18,657
maker-000076F-exonerate_protein2genome-gene-30.18,829
maker-000076F-augustus-gene-30.26,786
maker-000076F-augustus-gene-30.27,615
maker-000076F-est_gff_StringTie-gene-30.11,261
maker-000076F-augustus-gene-30.29,750
maker-000076F-est_gff_StringTie-gene-30.12,575
maker-000217F-est_gff_StringTie-gene-1.1,6332
maker-000217F-exonerate_protein2genome-gene-1.0,2195
maker-000217F-est_gff_StringTie-gene-1.3,1357
maker-000217F-est_gff_StringTie-gene-2.0,6244
evm-000217F-processed-gene-2.1,1357
maker-000217F-augustus-gene-2.13,1251
maker-000217F-est_gff_StringTie-gene-3.0,12466
