geneNameProtein,lascID,signature_accession,nrOfDomains,class
PySpb,LASC011791,G3DSA:1.10.274.60,15,PySp
PySpa,LASC011790,G3DSA:1.10.274.60,9,PySp
TuSpb,LASC008470,G3DSA:1.10.274.60,27,TuSp
TuSpc,LASC022086,G3DSA:1.10.274.60,17,TuSp
TuSpa,LASC002331,G3DSA:1.10.274.60,9,TuSp
TuSp-like,LASC001804,G3DSA:1.10.274.60,2,TuSp
AcSp1c,LASC012315,G3DSA:1.10.274.60,22,AcSp
AcSp1b,LASC012314,G3DSA:1.10.274.60,13,AcSp
AcSpa,LASC004415,G3DSA:1.10.274.60,6,AcSp
MiSpa,LASC007254,G3DSA:1.10.274.60,1,MiSp
MiSpb,LASC007257,G3DSA:1.10.274.60,1,MiSp
MiSpd,LASC022495,G3DSA:1.10.274.60,1,MiSp
AmSp-like2,LASC020272,G3DSA:1.10.274.60,1,AmSp-like
LASC000534,LASC000534,G3DSA:1.10.274.60,5,Other
sp-1339#prd34368.1,LASC020416,G3DSA:1.10.274.60,3,Other
x975_2,LASC020273,G3DSA:1.10.274.60,2,Other
LASC001876,LASC001876,G3DSA:1.10.274.60,1,Other
LASC001879,LASC001879,G3DSA:1.10.274.60,1,Other
LASC004246,LASC004246,G3DSA:1.10.274.60,1,Other
