p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,scGeneName,gene_id,geneName,Chr,Start,End,product,uniprot_id,lascID,geneName_GOI,Nephila_genome_Class,Group,sc_gene_id
0,10.312850812986923,0.952,0.223,0,ZoneA_MaSp2,MaSp2b,evm-000033F-processed-gene-24.21-GeneB,MaSp2b,000033F,5626769,5627335,"MaSp-f(1)#PRD27696.1, protein",PRD27696.1,LASC004267,MaSp2b,Major Ampullate Gland,Spidroin,evm-000033F-processed-gene-24.21-GeneB
0,8.301331169583623,0.633,0.19,0,ZoneA_MaSp2,LASC004266,evm-000033F-processed-gene-23.0,LASC004266,000033F,5542581,5597370,"hypothetical, protein",NA,LASC004266,NA,NA,Other,evm-000033F-processed-gene-23.0
0,5.996028495660607,0.948,0.288,0,ZoneA_MaSp2,MaSp2e,maker-000175F-exonerate_protein2genome-gene-8.3-GeneA,MaSp2e,000175F,1701320,1716556,"Major, ampullate, spidroin, 2, variant, 2, (Fragment)",A0A2S2B4G1,LASC012920,MaSp2e,Major Ampullate Gland,Spidroin,maker-000175F-exonerate-protein2genome-gene-8.3-GeneA
0,5.745547122249457,0.744,0.201,0,ZoneA_MaSp2,MaSp2a,maker-000033F-exonerate_protein2genome-gene-24.4,MaSp2a,000033F,5502502,5517510,"Major, ampullate, spidroin-2, (Fragment)",Q3ZTR1,LASC004265,MaSp2a,Major Ampullate Gland,Spidroin,maker-000033F-exonerate-protein2genome-gene-24.4
0,5.56678789362206,0.973,0.314,0,ZoneA_MaSp2,MaSp2f,maker-000175F-exonerate_protein2genome-gene-8.3-GeneB,MaSp2f,000175F,1857400,1874685,"Major, ampullate, spidroin, 2, variant, 2, (Fragment)",A0A2S2B4G1,LASC012922,MaSp2f,Major Ampullate Gland,Spidroin,maker-000175F-exonerate-protein2genome-gene-8.3-GeneB
0,3.8382147478197908,0.723,0.342,0,ZoneA_MaSp2,LASC005175,maker-000045F-est_gff_StringTie-gene-24.2,LASC005175,000045F,5464594,5625433,hypothetical protein,NA,LASC005175,NA,NA,Other,maker-000045F-est-gff-StringTie-gene-24.2
0,2.510519597033804,0.963,0.342,0,ZoneA_MaSp2,MaSp2c,evm-000033F-processed-gene-24.21-GeneA,MaSp2c,000033F,5776789,5819345,"MaSp-f(1)#PRD27696.1, protein",PRD27696.1,LASC004269,MaSp2c,Major Ampullate Gland,Spidroin,evm-000033F-processed-gene-24.21-GeneA
0,2.0949651446504194,0.761,0.346,0,ZoneA_MaSp2,hn,maker-000174F-exonerate_protein2genome-gene-1.0,hn,000174F,220402,246254,Protein henna,P17276,LASC012862,NA,NA,Other,maker-000174F-exonerate-protein2genome-gene-1.0
1.2404743996586066e-272,4.589816697083138,0.676,0.357,3.7214231989758196e-269,ZoneA_MaSp2,LASC003334,maker-000023F-est_gff_StringTie-gene-38.0,LASC003334,000023F,9039410,9048837,hypothetical protein,NA,LASC003334,NA,NA,Other,maker-000023F-est-gff-StringTie-gene-38.0
1.0921181164480736e-263,3.9481943419720036,0.353,0.039,3.276354349344221e-260,ZoneA_MaSp2,LASC004264,evm-000033F-processed-gene-23.1,LASC004264,000033F,5502411,5513323,"hypothetical, protein",NA,LASC004264,NA,NA,Other,evm-000033F-processed-gene-23.1
5.994293263230429e-249,2.063607691293443,0.648,0.373,1.7982879789691289e-245,ZoneA_MaSp2,LASC009844,evm-000113F-processed-gene-7.12,LASC009844,000113F,1747088,1761891,hypothetical protein,NA,LASC009844,NA,NA,Other,evm-000113F-processed-gene-7.12
4.131934490021608e-246,6.175112029117843,0.463,0.112,1.2395803470064825e-242,ZoneA_MaSp2,MaSp4,evm-000033F-processed-gene-22.11,MaSp4,000033F,5379690,5392488,"MaSp-f(1)#PRD27696.1, protein",PRD27696.1,LASC004263,MaSp4,Major Ampullate Gland,Spidroin,evm-000033F-processed-gene-22.11
3.384478904276952e-244,0.934002042466485,0.454,0.209,1.0153436712830856e-240,ZoneA_MaSp2,MaSp1a,evm-000033F-processed-gene-27.15-GeneA,MaSp1a,000033F,6104352,6121610,"Major, ampullate, spidroin, 1, variant, 1, (Fragment)",A0A2S2B4B0,LASC004271,MaSp1a,Major Ampullate Gland,Spidroin,evm-000033F-processed-gene-27.15-GeneA
3.911450967732971e-214,1.4197412283192365,0.658,0.388,1.1734352903198913e-210,ZoneA_MaSp2,lman2l,maker-000197F-est_gff_StringTie-gene-2.2,lman2l,000197F,520559,553688,VIP36-like protein,Q5RCF0,LASC013979,NA,NA,Other,maker-000197F-est-gff-StringTie-gene-2.2
5.2530886120178666e-185,2.3718598596968907,0.577,0.317,1.57592658360536e-181,ZoneA_MaSp2,LASC021758,maker-000544F-augustus-gene-1.1,LASC021758,000544F,275336,321220,hypothetical protein,NA,LASC021758,NA,NA,Other,maker-000544F-augustus-gene-1.1
1.6265863616871273e-183,1.0087768025044803,0.665,0.437,4.879759085061382e-180,ZoneA_MaSp2,rpp-2-rplp2,maker-000518F-exonerate_protein2genome-gene-2.1,rpp-2_rplp2,000518F,611514,623865,"60S, acidic, ribosomal, protein, P2","P90703,P02401",LASC021479,NA,NA,Other,maker-000518F-exonerate-protein2genome-gene-2.1
1.1148105368912355e-173,0.8391903165086096,0.653,0.413,3.344431610673707e-170,ZoneA_MaSp2,rpsa,maker-000409F-exonerate_protein2genome-gene-3.1,rpsa,000409F,853446,868489,"hypothetical protein,40S ribosomal protein SA",Q4QY71,LASC019928,NA,NA,Other,maker-000409F-exonerate-protein2genome-gene-3.1
7.028527109213708e-171,2.5996067075162994,0.343,0.105,2.1085581327641124e-167,ZoneA_MaSp2,LASC002055,maker-000012F-est_gff_StringTie-gene-5.1,LASC002055,000012F,1324378,1345314,hypothetical protein,NA,LASC002055,NA,NA,Other,maker-000012F-est-gff-StringTie-gene-5.1
3.320559064390247e-169,0.6477223543427462,0.44,0.195,9.961677193170741e-166,ZoneA_MaSp2,slc16a12b,maker-000064F-est_gff_StringTie-gene-7.3,slc16a12b,000064F,1682931,1788812,"Monocarboxylate transporter 12-B,hypothetical protein",Q503M4,LASC006739,NA,NA,Other,maker-000064F-est-gff-StringTie-gene-7.3
3.0126076601952036e-158,1.1672430705777064,0.478,0.205,9.037822980585612e-155,ZoneA_MaSp2,gstm1-3,maker-000115F-exonerate_protein2genome-gene-10.2,gstm1_3,000115F,2507752,2515132,Glutathione S-transferase Mu 1,P10649,LASC009974,NA,NA,Other,maker-000115F-exonerate-protein2genome-gene-10.2
6.495052485324642e-157,1.438707126405042,0.586,0.356,1.9485157455973925e-153,ZoneA_MaSp2,psph-2,maker-000349F-exonerate_protein2genome-gene-6.5,psph_2,000349F,1481904,1514502,Phosphoserine phosphatase,Q5M819,LASC018723,NA,NA,Other,maker-000349F-exonerate-protein2genome-gene-6.5
8.195056352902648e-155,1.8562456995835266,0.478,0.231,2.4585169058707946e-151,ZoneA_MaSp2,LASC021139,maker-000490F-est_gff_StringTie-gene-2.5,LASC021139,000490F,579773,598628,hypothetical protein,NA,LASC021139,NA,NA,Other,maker-000490F-est-gff-StringTie-gene-2.5
9.973675853897177e-151,0.8282085411893814,0.634,0.409,2.992102756169153e-147,ZoneA_MaSp2,jagn,maker-000236F-est_gff_StringTie-gene-10.7,jagn,000236F,2451417,2458861,Protein jagunal,Q7K1V5,LASC015470,NA,NA,Other,maker-000236F-est-gff-StringTie-gene-10.7
3.8587359217162067e-146,0.9944856693260422,0.626,0.383,1.157620776514862e-142,ZoneA_MaSp2,hdlbp-2,maker-000032F-exonerate_protein2genome-gene-27.0,hdlbp_2,000032F,6394377,6438891,Vigilin,Q8VDJ3,LASC004167,NA,NA,Other,maker-000032F-exonerate-protein2genome-gene-27.0
9.370089762286212e-144,0.8679706336778963,0.646,0.416,2.8110269286858637e-140,ZoneA_MaSp2,eef1alpha1-2,evm-000449F-processed-gene-0.17,eef1alpha1_2,000449F,44387,60274,Elongation factor 1-alpha 1,P08736,LASC020538,NA,NA,Other,evm-000449F-processed-gene-0.17
1.0282130249468337e-142,2.6246143982955292,0.307,0.062,3.084639074840501e-139,ZoneA_MaSp2,LASC012921,maker-000175F-est_gff_StringTie-gene-8.1,LASC012921,000175F,1705839,1716655,"hypothetical, protein",NA,LASC012921,NA,NA,Other,maker-000175F-est-gff-StringTie-gene-8.1
1.2635503228132182e-138,5.5075575651401945,0.563,0.329,3.7906509684396546e-135,ZoneA_MaSp2,gdf-8,maker-000293F-est_gff_StringTie-gene-9.0,gdf-8,000293F,2142339,2225650,Growth/differentiation factor 8,Q98TB4,LASC017260,NA,NA,Other,maker-000293F-est-gff-StringTie-gene-9.0
1.642887054556276e-129,0.8865278589478358,0.515,0.294,4.928661163668828e-126,ZoneA_MaSp2,boka-bok,maker-000051F-est_gff_StringTie-gene-21.1,boka_bok,000051F,4953512,5006369,"Bcl-2-related ovarian killer protein,Bcl-2-related ovarian killer protein homolog A","Q9I8I2,Q6DC66",LASC005703,NA,NA,Other,maker-000051F-est-gff-StringTie-gene-21.1
7.942798360634986e-129,3.697432483891534,0.341,0.126,2.382839508190496e-125,ZoneA_MaSp2,LASC004268,maker-000033F-est_gff_StringTie-gene-24.0,LASC004268,000033F,5641572,5810572,"hypothetical, protein",NA,LASC004268,NA,NA,Other,maker-000033F-est-gff-StringTie-gene-24.0
4.4610182486488354e-126,1.6492921957392441,0.601,0.406,1.3383054745946505e-122,ZoneA_MaSp2,rps20,evm-000085F-processed-gene-21.10,rps20,000085F,5028481,5035187,40S ribosomal protein S20,P60868,LASC008276,NA,NA,Other,evm-000085F-processed-gene-21.10
7.853309211824713e-125,3.1975402048476878,0.431,0.181,2.355992763547414e-121,ZoneA_MaSp2,amdhd1,maker-000620F-exonerate_protein2genome-gene-0.7,amdhd1,000620F,85096,113621,Probable imidazolonepropionase,A7RX26,LASC022213,NA,NA,Other,maker-000620F-exonerate-protein2genome-gene-0.7
3.099088441008523e-121,5.310703227268569,0.344,0.116,9.29726532302557e-118,ZoneA_MaSp2,znf474-2,maker-000309F-est_gff_StringTie-gene-4.2,znf474_2,000309F,932962,979070,Zinc finger protein 474,A6QQM4,LASC017710,NA,NA,Other,maker-000309F-est-gff-StringTie-gene-4.2
2.4932471976500507e-114,0.991511990482042,0.553,0.353,7.479741592950152e-111,ZoneA_MaSp2,pycr2-rnf170-pycr1,maker-000046F-augustus-gene-4.17,pycr2_rnf170_pycr1,000046F,780573,881169,"E3 ubiquitin-protein ligase RNF170,Pyrroline-5-carboxylate reductase 2,Pyrroline-5-carboxylate reductase 1%2C mitochondrial","Q96K19,Q17QJ7,Q58DT4",LASC005212,NA,NA,Other,maker-000046F-augustus-gene-4.17
5.4912277541151355e-114,0.8994865156327894,0.407,0.216,1.6473683262345406e-110,ZoneA_MaSp2,aldh18a1,maker-000098F-exonerate_protein2genome-gene-13.0,aldh18a1,000098F,3181985,3236606,Delta-1-pyrroline-5-carboxylate synthase,"P54886,Q9Z110",LASC009091,NA,NA,Other,maker-000098F-exonerate-protein2genome-gene-13.0
1.0936590084674192e-108,1.0482065318873595,0.266,0.086,3.2809770254022577e-105,ZoneA_MaSp2,cg7990,maker-000089F-est_gff_StringTie-gene-13.3,cg7990,000089F,3117049,3159912,"Post-GPI, attachment, to, proteins, factor, 2-like",Q9VWK6,LASC008511,NA,NA,Other,maker-000089F-est-gff-StringTie-gene-13.3
