gene_id,lascID,geneName,tx_id,tx_name,nexon,tx_len
maker-000562F-est_gff_StringTie-gene-1.0,LASC021896,uvr8_glo-4,45150,maker-000562F-est_gff_StringTie-gene-1.0-mRNA-1,32,5496
maker-000562F-est_gff_StringTie-gene-1.0,LASC021896,uvr8_glo-4,45151,maker-000562F-est_gff_StringTie-gene-1.0-mRNA-2,31,5413
maker-000562F-est_gff_StringTie-gene-1.0,LASC021896,uvr8_glo-4,45152,maker-000562F-est_gff_StringTie-gene-1.0-mRNA-4,30,4995
maker-000562F-est_gff_StringTie-gene-1.0,LASC021896,uvr8_glo-4,45153,maker-000562F-est_gff_StringTie-gene-1.0-mRNA-3,31,5264
maker-000562F-est_gff_StringTie-gene-1.0,LASC021896,uvr8_glo-4,45154,maker-000562F-est_gff_StringTie-gene-1.0-mRNA-5,7,1600
maker-000562F-est_gff_StringTie-gene-1.2,LASC021897,fam120a,45157,maker-000562F-est_gff_StringTie-gene-1.2-mRNA-1,16,3842
maker-000562F-est_gff_StringTie-gene-1.1,LASC021898,pdhx,45155,maker-000562F-est_gff_StringTie-gene-1.1-mRNA-1,2,1390
maker-000562F-est_gff_StringTie-gene-1.3,LASC021899,skeletor_3,45158,maker-000562F-est_gff_StringTie-gene-1.3-mRNA-1,16,5270
maker-000562F-est_gff_StringTie-gene-1.3,LASC021899,skeletor_3,45159,maker-000562F-est_gff_StringTie-gene-1.3-mRNA-2,16,5170
maker-000562F-est_gff_StringTie-gene-1.3,LASC021899,skeletor_3,45160,maker-000562F-est_gff_StringTie-gene-1.3-mRNA-3,15,4990
augustus_masked-000562F-processed-gene-1.17,LASC021900,LASC021900,45161,augustus_masked-000562F-processed-gene-1.17-mRNA-1,1,1377
augustus_masked-000562F-processed-gene-1.15,LASC021901,LASC021901,45156,augustus_masked-000562F-processed-gene-1.15-mRNA-1,3,1017
maker-000562F-exonerate_protein2genome-gene-1.7,LASC021902,rpl9,45162,maker-000562F-exonerate_protein2genome-gene-1.7-mRNA-1,5,907
maker-000562F-exonerate_protein2genome-gene-1.8,LASC021903,bre-4,45163,maker-000562F-exonerate_protein2genome-gene-1.8-mRNA-1,10,9033
maker-000716F-est_gff_StringTie-gene-0.0,LASC022467,LASC022467,46223,maker-000716F-est_gff_StringTie-gene-0.0-mRNA-1,2,418
augustus_masked-001568F-processed-gene-0.0,LASC022826,dut_5,46898,augustus_masked-001568F-processed-gene-0.0-mRNA-1,1,459
maker-001456F-exonerate_protein2genome-gene-0.0,LASC022815,ogg1,46880,maker-001456F-exonerate_protein2genome-gene-0.0-mRNA-1,7,1786
maker-000864F-est_gff_StringTie-gene-0.1,LASC022626,svep1_8,46573,maker-000864F-est_gff_StringTie-gene-0.1-mRNA-1,11,1970
maker-000864F-est_gff_StringTie-gene-0.1,LASC022626,svep1_8,46574,maker-000864F-est_gff_StringTie-gene-0.1-mRNA-4,10,1637
maker-000864F-est_gff_StringTie-gene-0.1,LASC022626,svep1_8,46575,maker-000864F-est_gff_StringTie-gene-0.1-mRNA-6,9,1475
maker-000864F-est_gff_StringTie-gene-0.1,LASC022626,svep1_8,46576,maker-000864F-est_gff_StringTie-gene-0.1-mRNA-3,10,1783
maker-000864F-est_gff_StringTie-gene-0.1,LASC022626,svep1_8,46577,maker-000864F-est_gff_StringTie-gene-0.1-mRNA-5,9,1621
maker-000864F-est_gff_StringTie-gene-0.1,LASC022626,svep1_8,46578,maker-000864F-est_gff_StringTie-gene-0.1-mRNA-2,10,2226
maker-000864F-augustus-gene-0.8,LASC022627,pif1_2,46580,maker-000864F-augustus-gene-0.8-mRNA-1,7,1236
maker-000864F-est_gff_StringTie-gene-0.2,LASC022628,LASC022628,46579,maker-000864F-est_gff_StringTie-gene-0.2-mRNA-1,2,1066
maker-000864F-est_gff_StringTie-gene-0.6,LASC022629,eif3a_3,46581,maker-000864F-est_gff_StringTie-gene-0.6-mRNA-1,2,1123
maker-000076F-est_gff_StringTie-gene-0.0,LASC007494,LASC007494,15438,maker-000076F-est_gff_StringTie-gene-0.0-mRNA-1,3,1101
maker-000076F-est_gff_StringTie-gene-0.1,LASC007495,golga3,15439,maker-000076F-est_gff_StringTie-gene-0.1-mRNA-1,11,9451
maker-000076F-est_gff_StringTie-gene-0.1,LASC007495,golga3,15440,maker-000076F-est_gff_StringTie-gene-0.1-mRNA-2,10,9287
maker-000076F-est_gff_StringTie-gene-0.1,LASC007495,golga3,15441,maker-000076F-est_gff_StringTie-gene-0.1-mRNA-3,10,9244
maker-000076F-exonerate_protein2genome-gene-1.1,LASC007496,gprk1,15442,maker-000076F-exonerate_protein2genome-gene-1.1-mRNA-1,21,6353
maker-000076F-est_gff_StringTie-gene-4.0,LASC007497,LASC007497,15443,maker-000076F-est_gff_StringTie-gene-4.0-mRNA-1,3,1744
maker-000076F-est_gff_StringTie-gene-4.0,LASC007497,LASC007497,15444,maker-000076F-est_gff_StringTie-gene-4.0-mRNA-2,3,1610
maker-000076F-est_gff_StringTie-gene-5.0,LASC007498,LASC007498,15516,maker-000076F-est_gff_StringTie-gene-5.0-mRNA-1,3,517
maker-000076F-est_gff_StringTie-gene-4.1,LASC007499,LASC007499,15445,maker-000076F-est_gff_StringTie-gene-4.1-mRNA-1,2,372
maker-000076F-est_gff_StringTie-gene-8.0,LASC007500,rbp6,15446,maker-000076F-est_gff_StringTie-gene-8.0-mRNA-1,15,10678
maker-000076F-est_gff_StringTie-gene-8.0,LASC007500,rbp6,15447,maker-000076F-est_gff_StringTie-gene-8.0-mRNA-2,14,10607
maker-000076F-est_gff_StringTie-gene-8.0,LASC007500,rbp6,15448,maker-000076F-est_gff_StringTie-gene-8.0-mRNA-3,14,1913
evm-000076F-processed-gene-9.15,LASC007501,LASC007501,15517,evm-000076F-processed-gene-9.15-mRNA-1,22,6439
evm-000076F-processed-gene-9.13,LASC007502,cep41,15518,evm-000076F-processed-gene-9.13-mRNA-1,10,952
maker-000076F-est_gff_StringTie-gene-8.1,LASC007503,zgc:103697,15449,maker-000076F-est_gff_StringTie-gene-8.1-mRNA-2,7,1106
maker-000076F-est_gff_StringTie-gene-8.1,LASC007503,zgc:103697,15450,maker-000076F-est_gff_StringTie-gene-8.1-mRNA-1,8,955
maker-000076F-est_gff_StringTie-gene-9.4,LASC007504,mrpl17,15519,maker-000076F-est_gff_StringTie-gene-9.4-mRNA-1,4,764
maker-000076F-exonerate_protein2genome-gene-9.1,LASC007505,coii,15451,maker-000076F-exonerate_protein2genome-gene-9.1-mRNA-1,1,222
maker-000076F-est_gff_StringTie-gene-9.2,LASC007506,LASC007506,15452,maker-000076F-est_gff_StringTie-gene-9.2-mRNA-2,3,806
maker-000076F-est_gff_StringTie-gene-9.2,LASC007506,LASC007506,15453,maker-000076F-est_gff_StringTie-gene-9.2-mRNA-1,4,836
maker-000076F-est_gff_StringTie-gene-9.2,LASC007506,LASC007506,15454,maker-000076F-est_gff_StringTie-gene-9.2-mRNA-3,2,720
maker-000076F-est_gff_StringTie-gene-10.0,LASC007507,sapcd2,15455,maker-000076F-est_gff_StringTie-gene-10.0-mRNA-2,6,2703
maker-000076F-est_gff_StringTie-gene-10.0,LASC007507,sapcd2,15456,maker-000076F-est_gff_StringTie-gene-10.0-mRNA-3,6,2018
maker-000076F-est_gff_StringTie-gene-10.0,LASC007507,sapcd2,15457,maker-000076F-est_gff_StringTie-gene-10.0-mRNA-4,6,1805
maker-000076F-est_gff_StringTie-gene-10.0,LASC007507,sapcd2,15458,maker-000076F-est_gff_StringTie-gene-10.0-mRNA-1,6,2946
evm-000076F-processed-gene-10.0,LASC007508,stx6,15459,evm-000076F-processed-gene-10.0-mRNA-1,8,3731
maker-000076F-est_gff_StringTie-gene-10.1,LASC007509,LASC007509,15520,maker-000076F-est_gff_StringTie-gene-10.1-mRNA-2,3,291
maker-000076F-est_gff_StringTie-gene-10.1,LASC007509,LASC007509,15521,maker-000076F-est_gff_StringTie-gene-10.1-mRNA-1,31,3476
maker-000076F-est_gff_StringTie-gene-11.2,LASC007510,fax,15522,maker-000076F-est_gff_StringTie-gene-11.2-mRNA-1,5,3665
evm-000076F-processed-gene-11.9,LASC007511,LASC007511,15460,evm-000076F-processed-gene-11.9-mRNA-1,5,5594
maker-000076F-augustus-gene-11.3,LASC007512,LASC007512,15523,maker-000076F-augustus-gene-11.3-mRNA-1,3,1614
