gene_id	geneName	Chr	Start	End
maker-000562F-est_gff_StringTie-gene-1.0	uvr8_glo-4	000562F	18795	161303
maker-000562F-est_gff_StringTie-gene-1.2	fam120a	000562F	177631	276186
maker-000562F-est_gff_StringTie-gene-1.1	pdhx	000562F	290604	294303
maker-000562F-est_gff_StringTie-gene-1.3	skeletor_3	000562F	301318	397122
augustus_masked-000562F-processed-gene-1.17	NA	000562F	301618	302994
augustus_masked-000562F-processed-gene-1.15	NA	000562F	404323	410450
maker-000562F-exonerate_protein2genome-gene-1.7	rpl9	000562F	442716	458313
maker-000562F-exonerate_protein2genome-gene-1.8	bre-4	000562F	479959	561627
maker-000716F-est_gff_StringTie-gene-0.0	NA	000716F	34404	36726
augustus_masked-001568F-processed-gene-0.0	dut_5	001568F	2798	3256
maker-001456F-exonerate_protein2genome-gene-0.0	ogg1	001456F	15489	28610
maker-000864F-est_gff_StringTie-gene-0.1	svep1_8	000864F	4678	71528
maker-000864F-augustus-gene-0.8	pif1_2	000864F	65675	86423
maker-000864F-est_gff_StringTie-gene-0.2	NA	000864F	87868	97517
maker-000864F-est_gff_StringTie-gene-0.6	eif3a_3	000864F	97651	98830
maker-000076F-est_gff_StringTie-gene-0.0	NA	000076F	6069	8906
maker-000076F-est_gff_StringTie-gene-0.1	golga3	000076F	23344	73747
maker-000076F-exonerate_protein2genome-gene-1.1	gprk1	000076F	100116	329328
maker-000076F-est_gff_StringTie-gene-4.0	NA	000076F	585861	731968
maker-000076F-est_gff_StringTie-gene-5.0	NA	000076F	938097	998570
maker-000076F-est_gff_StringTie-gene-4.1	NA	000076F	1048902	1051382
maker-000076F-est_gff_StringTie-gene-8.0	rbp6	000076F	1279768	1912169
evm-000076F-processed-gene-9.15	NA	000076F	1897282	1982054
evm-000076F-processed-gene-9.13	cep41	000076F	2014917	2044656
maker-000076F-est_gff_StringTie-gene-8.1	zgc:103697	000076F	2044770	2059913
maker-000076F-est_gff_StringTie-gene-9.4	mrpl17	000076F	2071344	2089492
maker-000076F-exonerate_protein2genome-gene-9.1	coii	000076F	2190451	2190672
maker-000076F-est_gff_StringTie-gene-9.2	NA	000076F	2198078	2316390
maker-000076F-est_gff_StringTie-gene-10.0	sapcd2	000076F	2359919	2380239
evm-000076F-processed-gene-10.0	stx6	000076F	2395984	2433037
maker-000076F-est_gff_StringTie-gene-10.1	NA	000076F	2433561	2536539
maker-000076F-est_gff_StringTie-gene-11.2	fax	000076F	2551273	2562832
evm-000076F-processed-gene-11.9	NA	000076F	2563066	2579449
maker-000076F-augustus-gene-11.3	NA	000076F	2605003	2650780
maker-000076F-est_gff_StringTie-gene-11.1	man2b1_2	000076F	2694596	2742873
maker-000076F-exonerate_protein2genome-gene-12.0	scd5	000076F	2743575	2812453
evm-000076F-processed-gene-12.5	pik3r1	000076F	2859797	2899433
maker-000076F-est_gff_StringTie-gene-13.0	NA	000076F	2983892	3027153
maker-000076F-est_gff_StringTie-gene-13.2	NA	000076F	3025941	3104776
maker-000076F-est_gff_StringTie-gene-13.1	NA	000076F	3249516	3262393
maker-000076F-est_gff_StringTie-gene-14.1	wsck	000076F	3313194	3408657
maker-000076F-est_gff_StringTie-gene-14.0	NA	000076F	3343294	3356645
maker-000076F-est_gff_StringTie-gene-15.0	cg3556_20	000076F	3424307	3534515
maker-000076F-est_gff_StringTie-gene-15.1	cg3556_vldlr	000076F	3559209	3655099
maker-000076F-est_gff_StringTie-gene-16.1	cg3556_9	000076F	3680996	3779721
maker-000076F-est_gff_StringTie-gene-16.2	cg3556_5	000076F	3802747	3887351
maker-000076F-est_gff_StringTie-gene-16.4	NA	000076F	3927176	3931921
