makerids	Nephila_genome_Class	Group
evm-000055F-processed-gene-19.0	Spice_NMa4	SpiCE
evm-000055F-processed-gene-19.1	Spice_NMa4	SpiCE
maker-000007F-augustus-gene-39.1	Spice_NMa4	SpiCE
maker-000007F-est_gff_StringTie-gene-39.1	Spice_NMa4	SpiCE
maker-000007F-est_gff_StringTie-gene-39.2	Spice_NMa4	SpiCE
maker-000007F-est_gff_StringTie-gene-39.3	Spice_NMa4	SpiCE
maker-000055F-est_gff_StringTie-gene-20.1	Spice_NMa4	SpiCE
maker-000078F-est_gff_StringTie-gene-26.2	Spice_NMa4	SpiCE
maker-000078F-est_gff_StringTie-gene-26.3	Spice_NMa4	SpiCE
maker-000081F-est_gff_StringTie-gene-2.3	Spice_NMa4	SpiCE
maker-000081F-est_gff_StringTie-gene-3.2	Spice_NMa4	SpiCE
maker-000081F-est_gff_StringTie-gene-3.3	Spice_NMa4	SpiCE
maker-000081F-est_gff_StringTie-gene-4.1	Spice_NMa4	SpiCE
maker-000081F-est_gff_StringTie-gene-4.3	Spice_NMa4	SpiCE
maker-000197F-est_gff_StringTie-gene-10.0	Spice_NMa4	SpiCE
maker-000197F-est_gff_StringTie-gene-10.1	Spice_NMa4	SpiCE
maker-000391F-est_gff_StringTie-gene-6.0	Spice_NMa4	SpiCE
maker-000153F-est_gff_StringTie-gene-12.3	Spice_NMa2	SpiCE
maker-000301F-est_gff_StringTie-gene-9.4	Spice_NMa2	SpiCE
