geneName,n_gland,percent_gland,rank_gland,n_silk,percent_silk,rank_silk,type,solution,NSAFMW,NSAF,Length,gene_id,geneNameProtein,silkGroup,LFQ_int,iBAQ
MaSp1a,3,4.4163479492181,1,9,20.990046018690695,1,silk,HFIP,33.75143333333334,0.07373333333333333,5753,evm-000033F-processed-gene-27.15-GeneA,MaSp1a,MaSp1,10.019844258065538,8.504979120580632
MaSp1a,3,4.4163479492181,1,9,20.990046018690695,1,silk,LiBr,33.72091666666667,0.07366666666666666,5753,evm-000033F-processed-gene-27.15-GeneA,MaSp1a,MaSp1,10.019844258065538,8.504979120580632
MaSp1a,3,4.4163479492181,1,9,20.990046018690695,1,silk,Urea,37.19981666666667,0.08126666666666667,5753,evm-000033F-processed-gene-27.15-GeneA,MaSp1a,MaSp1,10.019844258065538,8.504979120580632
MaSp3a,3,2.429425197998169,2,9,14.81436899395741,2,silk,HFIP,11.603966666666667,0.023633333333333333,2827,evm-000033F-processed-gene-27.15-GeneD,MaSp3a,MaSp3,10.005348405358227,4.621618417222977
MaSp3a,3,2.429425197998169,2,9,14.81436899395741,2,silk,LiBr,13.289733333333333,0.027066666666666666,2827,evm-000033F-processed-gene-27.15-GeneD,MaSp3a,MaSp3,10.005348405358227,4.621618417222977
MaSp3a,3,2.429425197998169,2,9,14.81436899395741,2,silk,Urea,16.481233333333332,0.03356666666666667,2827,evm-000033F-processed-gene-27.15-GeneD,MaSp3a,MaSp3,10.005348405358227,4.621618417222977
MaSp1b,3,1.709274157162997,3,9,10.523335974568946,3,silk,HFIP,14.090857333333334,0.05486666666666667,3176,evm-000033F-processed-gene-27.15-GeneB,MaSp1b,MaSp1,7.058973420464282,10.59608366773531
MaSp1b,3,1.709274157162997,3,9,10.523335974568946,3,silk,LiBr,12.875242666666669,0.050133333333333335,3176,evm-000033F-processed-gene-27.15-GeneB,MaSp1b,MaSp1,7.058973420464282,10.59608366773531
MaSp1b,3,1.709274157162997,3,9,10.523335974568946,3,silk,Urea,16.22246333333333,0.06316666666666666,3176,evm-000033F-processed-gene-27.15-GeneB,MaSp1b,MaSp1,7.058973420464282,10.59608366773531
MaSp3b,3,1.4567874669424736,4,9,8.144619459202715,4,silk,HFIP,0.12398946,4.993333333333333e-4,2958,evm-000033F-processed-gene-27.15-GeneE,MaSp3b,MaSp3,0,0.01472782429685952
MaSp3b,3,1.4567874669424736,4,9,8.144619459202715,4,silk,LiBr,0,0,2958,evm-000033F-processed-gene-27.15-GeneE,MaSp3b,MaSp3,0,0.01472782429685952
MaSp3b,3,1.4567874669424736,4,9,8.144619459202715,4,silk,Urea,0.12854181,5.176666666666667e-4,2958,evm-000033F-processed-gene-27.15-GeneE,MaSp3b,MaSp3,0,0.01472782429685952
MaSp2c,3,1.440302081670343,5,9,5.255021949700885,5,silk,HFIP,7.526883666666667,0.027433333333333334,3262,evm-000033F-processed-gene-24.21-GeneA,MaSp2c,MaSp2,15.754221123799415,19.597614092472252
MaSp2c,3,1.440302081670343,5,9,5.255021949700885,5,silk,LiBr,7.773816666666667,0.028333333333333332,3262,evm-000033F-processed-gene-24.21-GeneA,MaSp2c,MaSp2,15.754221123799415,19.597614092472252
MaSp2c,3,1.440302081670343,5,9,5.255021949700885,5,silk,Urea,7.188494,0.0262,3262,evm-000033F-processed-gene-24.21-GeneA,MaSp2c,MaSp2,15.754221123799415,19.597614092472252
MaSp1c,3,1.136623931920572,6,9,2.999305768041582,8,silk,HFIP,0.7472629,0.00277,3351,evm-000033F-processed-gene-27.15-GeneC,MaSp1c,MaSp1,3.255653632516388,2.1524174759333214
MaSp1c,3,1.136623931920572,6,9,2.999305768041582,8,silk,LiBr,0.8758532666666666,0.003246666666666667,3351,evm-000033F-processed-gene-27.15-GeneC,MaSp1c,MaSp1,3.255653632516388,2.1524174759333214
MaSp1c,3,1.136623931920572,6,9,2.999305768041582,8,silk,Urea,0.8470778,0.00314,3351,evm-000033F-processed-gene-27.15-GeneC,MaSp1c,MaSp1,3.255653632516388,2.1524174759333214
MaSp2f,3,1.093241339099176,7,9,4.082972800867129,6,silk,HFIP,4.5150353333333335,0.02886666666666667,1863,maker-000175F-exonerate_protein2genome-gene-8.3-GeneB,MaSp2f,MaSp2,6.1892898377584515,3.0447917012524455
MaSp2f,3,1.093241339099176,7,9,4.082972800867129,6,silk,LiBr,5.542127666666667,0.03543333333333333,1863,maker-000175F-exonerate_protein2genome-gene-8.3-GeneB,MaSp2f,MaSp2,6.1892898377584515,3.0447917012524455
