# SignalP-6.0	Organism: Eukarya	Timestamp: 20221121194019
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
maker-000000F-exonerate_protein2genome-gene-0.0-mRNA-1	OTHER	1.000053	0.000000	
maker-000000F-est_gff_StringTie-gene-1.0-mRNA-1	OTHER	1.000029	0.000001	
maker-000000F-est_gff_StringTie-gene-1.0-mRNA-2	OTHER	1.000070	0.000000	
maker-000000F-est_gff_StringTie-gene-1.0-mRNA-3	OTHER	1.000070	0.000000	
maker-000000F-est_gff_StringTie-gene-1.1-mRNA-1	OTHER	0.999537	0.000469	
maker-000000F-est_gff_StringTie-gene-1.2-mRNA-1	OTHER	0.999203	0.000794	
maker-000000F-est_gff_StringTie-gene-1.3-mRNA-1	OTHER	0.999956	0.000030	
maker-000000F-est_gff_StringTie-gene-2.0-mRNA-4	SP	0.000209	0.999765	CS pos: 25-26. Pr: 0.9793
maker-000000F-est_gff_StringTie-gene-2.0-mRNA-1	OTHER	1.000074	0.000000	
maker-000000F-est_gff_StringTie-gene-2.0-mRNA-2	SP	0.000209	0.999770	CS pos: 25-26. Pr: 0.9793
maker-000000F-est_gff_StringTie-gene-2.0-mRNA-6	OTHER	1.000077	0.000000	
maker-000000F-est_gff_StringTie-gene-2.0-mRNA-3	OTHER	1.000072	0.000000	
maker-000000F-est_gff_StringTie-gene-2.0-mRNA-7	OTHER	1.000077	0.000000	
maker-000000F-est_gff_StringTie-gene-2.0-mRNA-5	OTHER	1.000074	0.000000	
maker-000000F-est_gff_StringTie-gene-2.0-mRNA-8	OTHER	1.000047	0.000000	
maker-000000F-est_gff_StringTie-gene-2.0-mRNA-9	OTHER	1.000072	0.000000	
maker-000000F-exonerate_protein2genome-gene-3.1-mRNA-1	OTHER	1.000084	0.000000	
maker-000000F-exonerate_protein2genome-gene-3.1-mRNA-2	OTHER	1.000000	0.000000	
maker-000000F-est_gff_StringTie-gene-7.0-mRNA-1	OTHER	1.000043	0.000000	
maker-000000F-est_gff_StringTie-gene-9.1-mRNA-1	OTHER	0.999926	0.000059	
maker-000000F-est_gff_StringTie-gene-9.1-mRNA-2	OTHER	1.000086	0.000000	
maker-000000F-est_gff_StringTie-gene-9.2-mRNA-1	OTHER	0.805266	0.194733	
maker-000000F-est_gff_StringTie-gene-12.0-mRNA-1	OTHER	1.000052	0.000000	
maker-000000F-est_gff_StringTie-gene-12.0-mRNA-2	OTHER	1.000052	0.000000	
maker-000000F-est_gff_StringTie-gene-12.0-mRNA-3	OTHER	1.000052	0.000000	
maker-000000F-est_gff_StringTie-gene-12.0-mRNA-4	OTHER	1.000052	0.000000	
