"","gene_id","geneName","lascID","scGeneName","Chr","Start","End"
"1","maker-000562F-est_gff_StringTie-gene-1.0","uvr8_glo-4","LASC021896","uvr8-glo-4","000562F",18795,161303
"2","maker-000562F-est_gff_StringTie-gene-1.2","fam120a","LASC021897","fam120a","000562F",177631,276186
"3","maker-000562F-est_gff_StringTie-gene-1.1","pdhx","LASC021898","pdhx","000562F",290604,294303
"4","maker-000562F-est_gff_StringTie-gene-1.3","skeletor_3","LASC021899","skeletor-3","000562F",301318,397122
"5","augustus_masked-000562F-processed-gene-1.17","LASC021900","LASC021900","LASC021900","000562F",301618,302994
"6","augustus_masked-000562F-processed-gene-1.15","LASC021901","LASC021901","LASC021901","000562F",404323,410450
"7","maker-000562F-exonerate_protein2genome-gene-1.7","rpl9","LASC021902","rpl9","000562F",442716,458313
"8","maker-000562F-exonerate_protein2genome-gene-1.8","bre-4","LASC021903","bre-4","000562F",479959,561627
"9","maker-000716F-est_gff_StringTie-gene-0.0","LASC022467","LASC022467","LASC022467","000716F",34404,36726
"10","augustus_masked-001568F-processed-gene-0.0","dut_5","LASC022826","dut-5","001568F",2798,3256
"11","maker-001456F-exonerate_protein2genome-gene-0.0","ogg1","LASC022815","ogg1","001456F",15489,28610
"12","maker-000864F-est_gff_StringTie-gene-0.1","svep1_8","LASC022626","svep1-8","000864F",4678,71528
"13","maker-000864F-augustus-gene-0.8","pif1_2","LASC022627","pif1-2","000864F",65675,86423
"14","maker-000864F-est_gff_StringTie-gene-0.2","LASC022628","LASC022628","LASC022628","000864F",87868,97517
"15","maker-000864F-est_gff_StringTie-gene-0.6","eif3a_3","LASC022629","eif3a-3","000864F",97651,98830
"16","maker-000076F-est_gff_StringTie-gene-0.0","LASC007494","LASC007494","LASC007494","000076F",6069,8906
"17","maker-000076F-est_gff_StringTie-gene-0.1","golga3","LASC007495","golga3","000076F",23344,73747
"18","maker-000076F-exonerate_protein2genome-gene-1.1","gprk1","LASC007496","gprk1","000076F",100116,329328
"19","maker-000076F-est_gff_StringTie-gene-4.0","LASC007497","LASC007497","LASC007497","000076F",585861,731968
"20","maker-000076F-est_gff_StringTie-gene-5.0","LASC007498","LASC007498","LASC007498","000076F",938097,998570
"21","maker-000076F-est_gff_StringTie-gene-4.1","LASC007499","LASC007499","LASC007499","000076F",1048902,1051382
"22","maker-000076F-est_gff_StringTie-gene-8.0","rbp6","LASC007500","rbp6","000076F",1279768,1912169
"23","evm-000076F-processed-gene-9.15","LASC007501","LASC007501","LASC007501","000076F",1897282,1982054
"24","evm-000076F-processed-gene-9.13","cep41","LASC007502","cep41","000076F",2014917,2044656
"25","maker-000076F-est_gff_StringTie-gene-8.1","zgc:103697","LASC007503","zgc:103697","000076F",2044770,2059913
"26","maker-000076F-est_gff_StringTie-gene-9.4","mrpl17","LASC007504","mrpl17","000076F",2071344,2089492
"27","maker-000076F-exonerate_protein2genome-gene-9.1","coii","LASC007505","coii","000076F",2190451,2190672
"28","maker-000076F-est_gff_StringTie-gene-9.2","LASC007506","LASC007506","LASC007506","000076F",2198078,2316390
"29","maker-000076F-est_gff_StringTie-gene-10.0","sapcd2","LASC007507","sapcd2","000076F",2359919,2380239
"30","evm-000076F-processed-gene-10.0","stx6","LASC007508","stx6","000076F",2395984,2433037
"31","maker-000076F-est_gff_StringTie-gene-10.1","LASC007509","LASC007509","LASC007509","000076F",2433561,2536539
"32","maker-000076F-est_gff_StringTie-gene-11.2","fax","LASC007510","fax","000076F",2551273,2562832
"33","evm-000076F-processed-gene-11.9","LASC007511","LASC007511","LASC007511","000076F",2563066,2579449
"34","maker-000076F-augustus-gene-11.3","LASC007512","LASC007512","LASC007512","000076F",2605003,2650780
"35","maker-000076F-est_gff_StringTie-gene-11.1","man2b1_2","LASC007513","man2b1-2","000076F",2694596,2742873
"36","maker-000076F-exonerate_protein2genome-gene-12.0","scd5","LASC007514","scd5","000076F",2743575,2812453
"37","evm-000076F-processed-gene-12.5","pik3r1","LASC007515","pik3r1","000076F",2859797,2899433
"38","maker-000076F-est_gff_StringTie-gene-13.0","LASC007516","LASC007516","LASC007516","000076F",2983892,3027153
"39","maker-000076F-est_gff_StringTie-gene-13.2","LASC007517","LASC007517","LASC007517","000076F",3025941,3104776
"40","maker-000076F-est_gff_StringTie-gene-13.1","LASC007518","LASC007518","LASC007518","000076F",3249516,3262393
"41","maker-000076F-est_gff_StringTie-gene-14.1","wsck","LASC007519","wsck","000076F",3313194,3408657
"42","maker-000076F-est_gff_StringTie-gene-14.0","LASC007520","LASC007520","LASC007520","000076F",3343294,3356645
"43","maker-000076F-est_gff_StringTie-gene-15.0","cg3556_20","LASC007521","cg3556-20","000076F",3424307,3534515
"44","maker-000076F-est_gff_StringTie-gene-15.1","cg3556_vldlr","LASC007522","cg3556-vldlr","000076F",3559209,3655099
"45","maker-000076F-est_gff_StringTie-gene-16.1","cg3556_9","LASC007523","cg3556-9","000076F",3680996,3779721
"46","maker-000076F-est_gff_StringTie-gene-16.2","cg3556_5","LASC007524","cg3556-5","000076F",3802747,3887351
"47","maker-000076F-est_gff_StringTie-gene-16.4","LASC007525","LASC007525","LASC007525","000076F",3927176,3931921
"48","maker-000076F-est_gff_StringTie-gene-16.5","ngdn-b_ngdn-a","LASC007526","ngdn-b-ngdn-a","000076F",3939037,3983872
"49","maker-000076F-augustus-gene-16.18","emc4","LASC007527","emc4","000076F",3984114,3998577
"50","maker-000076F-est_gff_StringTie-gene-17.0","LASC007528","LASC007528","LASC007528","000076F",4089028,4111902
"51","maker-000076F-augustus-gene-18.0","LASC007529","LASC007529","LASC007529","000076F",4316231,4319351
"52","maker-000076F-est_gff_StringTie-gene-18.0","runx1t1","LASC007530","runx1t1","000076F",4316304,4425448
"53","maker-000076F-est_gff_StringTie-gene-19.0","ush","LASC007531","ush","000076F",4487210,4706009
"54","augustus_masked-000076F-processed-gene-21.1","LASC007532","LASC007532","LASC007532","000076F",5122200,5122778
