gene_id	geneName	Chr	Start	End	product	uniprot_id
maker-000562F-est_gff_StringTie-gene-1.0	uvr8_glo-4	000562F	18795	161303	X-linked retinitis pigmentosa GTPase regulator homolog,Ultraviolet-B receptor UVR8,hypothetical protein	Q5DX34,Q9FN03
maker-000562F-est_gff_StringTie-gene-1.2	fam120a	000562F	177631	276186	Constitutive coactivator of PPAR-gamma-like protein 1 homolog	Q6DEZ2
maker-000562F-est_gff_StringTie-gene-1.1	pdhx	000562F	290604	294303	Pyruvate dehydrogenase protein X component	P22439
maker-000562F-est_gff_StringTie-gene-1.3	skeletor_3	000562F	301318	397122	Protein Skeletor%2C isoforms D/E,Protein Skeletor%2C isoforms B/C	Q9GPJ1,Q9VGY6
augustus_masked-000562F-processed-gene-1.17	NA	000562F	301618	302994	hypothetical protein	NA
augustus_masked-000562F-processed-gene-1.15	NA	000562F	404323	410450	hypothetical protein	NA
maker-000562F-exonerate_protein2genome-gene-1.7	rpl9	000562F	442716	458313	60S ribosomal protein L9	Q90YW0
maker-000562F-exonerate_protein2genome-gene-1.8	bre-4	000562F	479959	561627	Beta-1%2C4-N-acetylgalactosaminyltransferase bre-4	Q9GUM2
maker-000716F-est_gff_StringTie-gene-0.0	NA	000716F	34404	36726	hypothetical protein	NA
augustus_masked-001568F-processed-gene-0.0	dut_5	001568F	2798	3256	Deoxyuridine 5'-triphosphate nucleotidohydrolase	P87630
maker-001456F-exonerate_protein2genome-gene-0.0	ogg1	001456F	15489	28610	N-glycosylase/DNA lyase	O08760
maker-000864F-est_gff_StringTie-gene-0.1	svep1_8	000864F	4678	71528	Sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain-containing protein 1	Q4LDE5,P0C6B8,A2AVA0
maker-000864F-augustus-gene-0.8	pif1_2	000864F	65675	86423	ATP-dependent DNA helicase PIF1	Q7ZV90
maker-000864F-est_gff_StringTie-gene-0.2	NA	000864F	87868	97517	hypothetical protein	NA
maker-000864F-est_gff_StringTie-gene-0.6	eif3a_3	000864F	97651	98830	Eukaryotic translation initiation factor 3 subunit A	A2VD00
maker-000076F-est_gff_StringTie-gene-0.0	NA	000076F	6069	8906	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-0.1	golga3	000076F	23344	73747	Golgin subfamily A member 3	P55937
maker-000076F-exonerate_protein2genome-gene-1.1	gprk1	000076F	100116	329328	G protein-coupled receptor kinase 1	P32865
maker-000076F-est_gff_StringTie-gene-4.0	NA	000076F	585861	731968	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-5.0	NA	000076F	938097	998570	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-4.1	NA	000076F	1048902	1051382	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-8.0	rbp6	000076F	1279768	1912169	RNA-binding protein Musashi homolog Rbp6	Q9VVE5
evm-000076F-processed-gene-9.15	NA	000076F	1897282	1982054	hypothetical protein	NA
evm-000076F-processed-gene-9.13	cep41	000076F	2014917	2044656	Centrosomal protein of 41 kDa	F1MUG2
maker-000076F-est_gff_StringTie-gene-8.1	zgc:103697	000076F	2044770	2059913	UPF0428 protein CXorf56 homolog	Q66I61
maker-000076F-est_gff_StringTie-gene-9.4	mrpl17	000076F	2071344	2089492	39S ribosomal protein L17%2C mitochondrial	Q5RCA3
maker-000076F-exonerate_protein2genome-gene-9.1	coii	000076F	2190451	2190672	Cytochrome c oxidase subunit 2	P50692
maker-000076F-est_gff_StringTie-gene-9.2	NA	000076F	2198078	2316390	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-10.0	sapcd2	000076F	2359919	2380239	Suppressor APC domain-containing protein 2	Q86UD0,Q9D818
evm-000076F-processed-gene-10.0	stx6	000076F	2395984	2433037	Syntaxin-6	Q5ZL19
maker-000076F-est_gff_StringTie-gene-10.1	NA	000076F	2433561	2536539	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-11.2	fax	000076F	2551273	2562832	Failed axon connections	Q95RI5
evm-000076F-processed-gene-11.9	NA	000076F	2563066	2579449	hypothetical protein	NA
maker-000076F-augustus-gene-11.3	NA	000076F	2605003	2650780	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-11.1	man2b1_2	000076F	2694596	2742873	Lysosomal alpha-mannosidase	Q60HE9
maker-000076F-exonerate_protein2genome-gene-12.0	scd5	000076F	2743575	2812453	Stearoyl-CoA desaturase 5	Q2KIA4
evm-000076F-processed-gene-12.5	pik3r1	000076F	2859797	2899433	Phosphatidylinositol 3-kinase regulatory subunit alpha	Q63787
maker-000076F-est_gff_StringTie-gene-13.0	NA	000076F	2983892	3027153	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-13.2	NA	000076F	3025941	3104776	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-13.1	NA	000076F	3249516	3262393	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-14.1	wsck	000076F	3313194	3408657	Putative tyrosine-protein kinase Wsck	P83097
maker-000076F-est_gff_StringTie-gene-14.0	NA	000076F	3343294	3356645	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-15.0	cg3556_20	000076F	3424307	3534515	Uncharacterized protein CG3556	Q9W4K2
maker-000076F-est_gff_StringTie-gene-15.1	cg3556_vldlr	000076F	3559209	3655099	Uncharacterized protein CG3556,Very low-density lipoprotein receptor	Q9W4K2,P98156
maker-000076F-est_gff_StringTie-gene-16.1	cg3556_9	000076F	3680996	3779721	Uncharacterized protein CG3556	Q9W4K2
maker-000076F-est_gff_StringTie-gene-16.2	cg3556_5	000076F	3802747	3887351	Uncharacterized protein CG3556	Q9W4K2
maker-000076F-est_gff_StringTie-gene-16.4	NA	000076F	3927176	3931921	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-16.5	ngdn-b_ngdn-a	000076F	3939037	3983872	Neuroguidin-B (Fragment),Neuroguidin-A	Q5M985,Q4KLC4
maker-000076F-augustus-gene-16.18	emc4	000076F	3984114	3998577	ER membrane protein complex subunit 4	Q6P011
maker-000076F-est_gff_StringTie-gene-17.0	NA	000076F	4089028	4111902	hypothetical protein	NA
maker-000076F-augustus-gene-18.0	NA	000076F	4316231	4319351	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-18.0	runx1t1	000076F	4316304	4425448	Protein CBFA2T1	Q06455,Q61909
maker-000076F-est_gff_StringTie-gene-19.0	ush	000076F	4487210	4706009	Zinc finger protein ush	Q9VPQ6
augustus_masked-000076F-processed-gene-21.1	NA	000076F	5122200	5122778	hypothetical protein	NA
augustus_masked-000076F-processed-gene-21.2	NA	000076F	5126123	5126674	hypothetical protein	NA
augustus_masked-000076F-processed-gene-21.3	NA	000076F	5130899	5131363	hypothetical protein	NA
augustus_masked-000076F-processed-gene-21.7	NA	000076F	5142040	5142465	hypothetical protein	NA
augustus_masked-000076F-processed-gene-21.8	NA	000076F	5158076	5158540	hypothetical protein	NA
augustus_masked-000076F-processed-gene-21.9	NA	000076F	5170247	5170732	hypothetical protein	NA
augustus_masked-000076F-processed-gene-21.4	NA	000076F	5179119	5179583	hypothetical protein	NA
augustus_masked-000076F-processed-gene-22.5	NA	000076F	5192720	5193214	hypothetical protein	NA
augustus_masked-000076F-processed-gene-22.3	NA	000076F	5220240	5221217	hypothetical protein	NA
augustus_masked-000076F-processed-gene-22.4	NA	000076F	5228362	5228856	hypothetical protein	NA
augustus_masked-000076F-processed-gene-22.6	NA	000076F	5258663	5259184	hypothetical protein	NA
augustus_masked-000076F-processed-gene-22.12	NA	000076F	5283482	5284063	hypothetical protein	NA
augustus_masked-000076F-processed-gene-22.8	NA	000076F	5291237	5291830	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-22.0	NA	000076F	5302083	5313930	hypothetical protein	NA
augustus_masked-000076F-processed-gene-22.10	NA	000076F	5324449	5325030	hypothetical protein	NA
augustus_masked-000076F-processed-gene-22.13	NA	000076F	5340475	5340900	hypothetical protein	NA
augustus_masked-000076F-processed-gene-22.14	NA	000076F	5346617	5347165	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-24.0	trhr	000076F	5403419	5902876	Thyrotropin-releasing hormone receptor	O93603,O46639
maker-000076F-est_gff_StringTie-gene-26.1	NA	000076F	6166236	6167743	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-26.0	NA	000076F	6198525	6202868	hypothetical protein	NA
augustus_masked-000076F-processed-gene-28.5	chrac1_2	000076F	6413714	6414004	Chromatin accessibility complex protein 1	Q9JKP8
maker-000076F-est_gff_StringTie-gene-27.0	NA	000076F	6429270	6616725	hypothetical protein	NA
maker-000076F-exonerate_protein2genome-gene-28.5	slc7a6_slc7a8_slc7a5p1	000076F	6478581	6621757	Large neutral amino acids transporter small subunit 2,Y+L amino acid transporter 2,Putative L-type amino acid transporter 1-like protein MLAS	Q9N1Q4,Q92536,Q59I64,Q8MH63
evm-000076F-processed-gene-28.21	slc7a8	000076F	6624916	6650211	Large neutral amino acids transporter small subunit 2	Q9N1Q4
maker-000076F-est_gff_StringTie-gene-28.2	NA	000076F	6675083	6698854	hypothetical protein	NA
maker-000076F-exonerate_protein2genome-gene-28.6	mthfsd	000076F	6711259	6729418	Methenyltetrahydrofolate synthase domain-containing protein	Q2KI24
maker-000076F-est_gff_StringTie-gene-28.4	NA	000076F	6772580	6800156	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-29.1	cpa2_3	000076F	6820608	6912221	hypothetical protein,Carboxypeptidase A2	P48052,P19222
maker-000076F-exonerate_protein2genome-gene-29.4	dusp3	000076F	6944927	6959179	Dual specificity protein phosphatase 3	Q9D7X3
maker-000076F-est_gff_StringTie-gene-29.3	pigu	000076F	6961457	7028949	Phosphatidylinositol glycan anchor biosynthesis class U protein	Q8CHJ1
maker-000076F-est_gff_StringTie-gene-29.0	hsf4	000076F	7029173	7099608	Heat shock factor protein 4,hypothetical protein	Q9ULV5
maker-000076F-est_gff_StringTie-gene-30.0	NA	000076F	7115726	7120526	hypothetical protein	NA
maker-000076F-exonerate_protein2genome-gene-30.13	NA	000076F	7167774	7172891	hypothetical protein	NA
